Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Mii persoane, Valoare
Total, Municipiul Bucuresti, Anul 2013, Mii persoane, 1113.1
Total, Municipiul Bucuresti, Anul 2014, Mii persoane, 1105.3
Total, Municipiul Bucuresti, Anul 2015, Mii persoane, 1120.5
Total, Municipiul Bucuresti, Anul 2016, Mii persoane, 1193.1
Total, Municipiul Bucuresti, Anul 2017, Mii persoane, 1195.9
Total, Mun. Bucuresti -incl. SAI, Anul 1990, Mii persoane, 1160.1
Total, Mun. Bucuresti -incl. SAI, Anul 1991, Mii persoane, 1237.8
Total, Mun. Bucuresti -incl. SAI, Anul 1992, Mii persoane, 1261.8
Total, Mun. Bucuresti -incl. SAI, Anul 1993, Mii persoane, 1166.7
Total, Mun. Bucuresti -incl. SAI, Anul 1994, Mii persoane, 1157.7
Total, Mun. Bucuresti -incl. SAI, Anul 1995, Mii persoane, 1021.4
Total, MACROREGIUNEA PATRU, Anul 1990, Mii persoane, 2235.8
Total, MACROREGIUNEA PATRU, Anul 1991, Mii persoane, 2238.7
Total, MACROREGIUNEA PATRU, Anul 1992, Mii persoane, 2271.9
Total, MACROREGIUNEA PATRU, Anul 1993, Mii persoane, 2244.5
Total, MACROREGIUNEA PATRU, Anul 1994, Mii persoane, 2286.1
Total, MACROREGIUNEA PATRU, Anul 1995, Mii persoane, 2168
Total, MACROREGIUNEA PATRU, Anul 1996, Mii persoane, 2052.2
Total, MACROREGIUNEA PATRU, Anul 1997, Mii persoane, 2065.7
Total, MACROREGIUNEA PATRU, Anul 1998, Mii persoane, 2007.9
Total, MACROREGIUNEA PATRU, Anul 1999, Mii persoane, 1975.8
Total, MACROREGIUNEA PATRU, Anul 2000, Mii persoane, 1995.8
Total, MACROREGIUNEA PATRU, Anul 2001, Mii persoane, 1947.5
Total, MACROREGIUNEA PATRU, Anul 2002, Mii persoane, 1842.9
Total, MACROREGIUNEA PATRU, Anul 2003, Mii persoane, 1832.4
Total, MACROREGIUNEA PATRU, Anul 2004, Mii persoane, 1786.2
Total, MACROREGIUNEA PATRU, Anul 2005, Mii persoane, 1806.2
Total, MACROREGIUNEA PATRU, Anul 2006, Mii persoane, 1792.1
Total, MACROREGIUNEA PATRU, Anul 2007, Mii persoane, 1821
Total, MACROREGIUNEA PATRU, Anul 2008, Mii persoane, 1821.5
Total, MACROREGIUNEA PATRU, Anul 2009, Mii persoane, 1815.3
Total, MACROREGIUNEA PATRU, Anul 2010, Mii persoane, 1780
Total, MACROREGIUNEA PATRU, Anul 2011, Mii persoane, 1744.7
Total, MACROREGIUNEA PATRU, Anul 2012, Mii persoane, 1794.2
Total, MACROREGIUNEA PATRU, Anul 2013, Mii persoane, 1782.3
Total, MACROREGIUNEA PATRU, Anul 2014, Mii persoane, 1753.3
Total, MACROREGIUNEA PATRU, Anul 2015, Mii persoane, 1723.1
Total, MACROREGIUNEA PATRU, Anul 2016, Mii persoane, 1687
Total, MACROREGIUNEA PATRU, Anul 2017, Mii persoane, 1676.8
Total, Regiunea SUD-VEST OLTENIA, Anul 1990, Mii persoane, 1189.6
Total, Regiunea SUD-VEST OLTENIA, Anul 1991, Mii persoane, 1194.4
Total, Regiunea SUD-VEST OLTENIA, Anul 1992, Mii persoane, 1224.9
Total, Regiunea SUD-VEST OLTENIA, Anul 1993, Mii persoane, 1211.5
Total, Regiunea SUD-VEST OLTENIA, Anul 1994, Mii persoane, 1235.2
Total, Regiunea SUD-VEST OLTENIA, Anul 1995, Mii persoane, 1133.7
Total, Regiunea SUD-VEST OLTENIA, Anul 1996, Mii persoane, 1080.4
Total, Regiunea SUD-VEST OLTENIA, Anul 1997, Mii persoane, 1104.2
Total, Regiunea SUD-VEST OLTENIA, Anul 1998, Mii persoane, 1076.1
Total, Regiunea SUD-VEST OLTENIA, Anul 1999, Mii persoane, 1082.9
Total, Regiunea SUD-VEST OLTENIA, Anul 2000, Mii persoane, 1079
Total, Regiunea SUD-VEST OLTENIA, Anul 2001, Mii persoane, 1053.9
Total, Regiunea SUD-VEST OLTENIA, Anul 2002, Mii persoane, 970.2
Total, Regiunea SUD-VEST OLTENIA, Anul 2003, Mii persoane, 960.8
Total, Regiunea SUD-VEST OLTENIA, Anul 2004, Mii persoane, 917.3
Total, Regiunea SUD-VEST OLTENIA, Anul 2005, Mii persoane, 926
Total, Regiunea SUD-VEST OLTENIA, Anul 2006, Mii persoane, 917.3
Total, Regiunea SUD-VEST OLTENIA, Anul 2007, Mii persoane, 922.3
Total, Regiunea SUD-VEST OLTENIA, Anul 2008, Mii persoane, 931.5
Total, Regiunea SUD-VEST OLTENIA, Anul 2009, Mii persoane, 933.7
Total, Regiunea SUD-VEST OLTENIA, Anul 2010, Mii persoane, 917.4
Total, Regiunea SUD-VEST OLTENIA, Anul 2011, Mii persoane, 898.2
Total, Regiunea SUD-VEST OLTENIA, Anul 2012, Mii persoane, 923.7
Total, Regiunea SUD-VEST OLTENIA, Anul 2013, Mii persoane, 911.1
Total, Regiunea SUD-VEST OLTENIA, Anul 2014, Mii persoane, 886.7
Total, Regiunea SUD-VEST OLTENIA, Anul 2015, Mii persoane, 858
Total, Regiunea SUD-VEST OLTENIA, Anul 2016, Mii persoane, 830.4
Total, Regiunea SUD-VEST OLTENIA, Anul 2017, Mii persoane, 827.7
Total, Dolj, Anul 1990, Mii persoane, 360.5
Total, Dolj, Anul 1991, Mii persoane, 371.9
Total, Dolj, Anul 1992, Mii persoane, 385.7
Total, Dolj, Anul 1993, Mii persoane, 393.7
Total, Dolj, Anul 1994, Mii persoane, 388
Total, Dolj, Anul 1995, Mii persoane, 327
Total, Dolj, Anul 1996, Mii persoane, 324
Total, Dolj, Anul 1997, Mii persoane, 330.9
Total, Dolj, Anul 1998, Mii persoane, 319.1
Total, Dolj, Anul 1999, Mii persoane, 342.8
Total, Dolj, Anul 2000, Mii persoane, 340.8
Total, Dolj, Anul 2001, Mii persoane, 330.8
Total, Dolj, Anul 2002, Mii persoane, 296.9
Total, Dolj, Anul 2003, Mii persoane, 294.2
Total, Dolj, Anul 2004, Mii persoane, 280
Total, Dolj, Anul 2005, Mii persoane, 284.4
Total, Dolj, Anul 2006, Mii persoane, 288.1
Total, Dolj, Anul 2007, Mii persoane, 290.6
Total, Dolj, Anul 2008, Mii persoane, 300.9
Total, Dolj, Anul 2009, Mii persoane, 297.7
Total, Dolj, Anul 2010, Mii persoane, 296.9
Total, Dolj, Anul 2011, Mii persoane, 286.5
Total, Dolj, Anul 2012, Mii persoane, 294
Total, Dolj, Anul 2013, Mii persoane, 290.9
Total, Dolj, Anul 2014, Mii persoane, 284.1
Total, Dolj, Anul 2015, Mii persoane, 275
Total, Dolj, Anul 2016, Mii persoane, 265.1
Total, Dolj, Anul 2017, Mii persoane, 265.8
Total, Gorj, Anul 1990, Mii persoane, 214.9
Total, Gorj, Anul 1991, Mii persoane, 213.1
Total, Gorj, Anul 1992, Mii persoane, 214.9
Total, Gorj, Anul 1993, Mii persoane, 208
Total, Gorj, Anul 1994, Mii persoane, 216.8
Total, Gorj, Anul 1995, Mii persoane, 206.8
Total, Gorj, Anul 1996, Mii persoane, 191.5
Total, Gorj, Anul 1997, Mii persoane, 188.3
Total, Gorj, Anul 1998, Mii persoane, 177.3
Total, Gorj, Anul 1999, Mii persoane, 177.2
Total, Gorj, Anul 2000, Mii persoane, 178.2
Total, Gorj, Anul 2001, Mii persoane, 173.6
Total, Gorj, Anul 2002, Mii persoane, 162.8
Total, Gorj, Anul 2003, Mii persoane, 159.5
Total, Gorj, Anul 2004, Mii persoane, 154.8
Total, Gorj, Anul 2005, Mii persoane, 152.8
Total, Gorj, Anul 2006, Mii persoane, 149.6
Total, Gorj, Anul 2007, Mii persoane, 147.8
Total, Gorj, Anul 2008, Mii persoane, 150.4
Total, Gorj, Anul 2009, Mii persoane, 154
Total, Gorj, Anul 2010, Mii persoane, 147.3
Total, Gorj, Anul 2011, Mii persoane, 144.6
Total, Gorj, Anul 2012, Mii persoane, 146.5
Total, Gorj, Anul 2013, Mii persoane, 146.4
Total, Gorj, Anul 2014, Mii persoane, 142
Total, Gorj, Anul 2015, Mii persoane, 137.6
Total, Gorj, Anul 2016, Mii persoane, 136
Total, Gorj, Anul 2017, Mii persoane, 135.8
Total, Mehedinti, Anul 1990, Mii persoane, 152.3
Total, Mehedinti, Anul 1991, Mii persoane, 150.2
Total, Mehedinti, Anul 1992, Mii persoane, 151.3
Total, Mehedinti, Anul 1993, Mii persoane, 147.5
Total, Mehedinti, Anul 1994, Mii persoane, 151.9
Total, Mehedinti, Anul 1995, Mii persoane, 144.3
Total, Mehedinti, Anul 1996, Mii persoane, 138.7
Total, Mehedinti, Anul 1997, Mii persoane, 145
Total, Mehedinti, Anul 1998, Mii persoane, 144.1
Total, Mehedinti, Anul 1999, Mii persoane, 145.1
Total, Mehedinti, Anul 2000, Mii persoane, 140.9
Total, Mehedinti, Anul 2001, Mii persoane, 141.8
Total, Mehedinti, Anul 2002, Mii persoane, 126.7
Total, Mehedinti, Anul 2003, Mii persoane, 126.8
Total, Mehedinti, Anul 2004, Mii persoane, 122.7
Total, Mehedinti, Anul 2005, Mii persoane, 123.7
Total, Mehedinti, Anul 2006, Mii persoane, 123
Total, Mehedinti, Anul 2007, Mii persoane, 123.2
Total, Mehedinti, Anul 2008, Mii persoane, 123.2
Total, Mehedinti, Anul 2009, Mii persoane, 124.5
Total, Mehedinti, Anul 2010, Mii persoane, 116.8
Total, Mehedinti, Anul 2011, Mii persoane, 116.8
Total, Mehedinti, Anul 2012, Mii persoane, 120
Total, Mehedinti, Anul 2013, Mii persoane, 117.6
Total, Mehedinti, Anul 2014, Mii persoane, 114.7
Total, Mehedinti, Anul 2015, Mii persoane, 111.5
Total, Mehedinti, Anul 2016, Mii persoane, 104.1
Total, Mehedinti, Anul 2017, Mii persoane, 104.2
Total, Olt, Anul 1990, Mii persoane, 247.2
Total, Olt, Anul 1991, Mii persoane, 242.8
Total, Olt, Anul 1992, Mii persoane, 248
Total, Olt, Anul 1993, Mii persoane, 243.9
Total, Olt, Anul 1994, Mii persoane, 243.9
Total, Olt, Anul 1995, Mii persoane, 227.7
Total, Olt, Anul 1996, Mii persoane, 215.3
Total, Olt, Anul 1997, Mii persoane, 219.6
Total, Olt, Anul 1998, Mii persoane, 217.4
Total, Olt, Anul 1999, Mii persoane, 213.4
Total, Olt, Anul 2000, Mii persoane, 214.3
Total, Olt, Anul 2001, Mii persoane, 208.4
Total, Olt, Anul 2002, Mii persoane, 195.1
Total, Olt, Anul 2003, Mii persoane, 195.6
Total, Olt, Anul 2004, Mii persoane, 183.3
Total, Olt, Anul 2005, Mii persoane, 186.4
Total, Olt, Anul 2006, Mii persoane, 181.3
Total, Olt, Anul 2007, Mii persoane, 182.4
Total, Olt, Anul 2008, Mii persoane, 178.8
Total, Olt, Anul 2009, Mii persoane, 176.7
Total, Olt, Anul 2010, Mii persoane, 176.1
Total, Olt, Anul 2011, Mii persoane, 174.6
Total, Olt, Anul 2012, Mii persoane, 181.4
Total, Olt, Anul 2013, Mii persoane, 178
Total, Olt, Anul 2014, Mii persoane, 175.2
Total, Olt, Anul 2015, Mii persoane, 168.3
Total, Olt, Anul 2016, Mii persoane, 162.6
Total, Olt, Anul 2017, Mii persoane, 161.8
Total, Valcea, Anul 1990, Mii persoane, 214.7
Total, Valcea, Anul 1991, Mii persoane, 216.4
Total, Valcea, Anul 1992, Mii persoane, 225
Total, Valcea, Anul 1993, Mii persoane, 218.4
Total, Valcea, Anul 1994, Mii persoane, 234.6
Total, Valcea, Anul 1995, Mii persoane, 227.9
Total, Valcea, Anul 1996, Mii persoane, 210.9
Total, Valcea, Anul 1997, Mii persoane, 220.4
Total, Valcea, Anul 1998, Mii persoane, 218.2
Total, Valcea, Anul 1999, Mii persoane, 204.4
Total, Valcea, Anul 2000, Mii persoane, 204.8
Total, Valcea, Anul 2001, Mii persoane, 199.3
Total, Valcea, Anul 2002, Mii persoane, 188.7
Total, Valcea, Anul 2003, Mii persoane, 184.7
Total, Valcea, Anul 2004, Mii persoane, 176.5
Total, Valcea, Anul 2005, Mii persoane, 178.7
Total, Valcea, Anul 2006, Mii persoane, 175.3
Total, Valcea, Anul 2007, Mii persoane, 178.3
Total, Valcea, Anul 2008, Mii persoane, 178.2
Total, Valcea, Anul 2009, Mii persoane, 180.8
Total, Valcea, Anul 2010, Mii persoane, 180.3
Total, Valcea, Anul 2011, Mii persoane, 175.7
Total, Valcea, Anul 2012, Mii persoane, 181.8
Total, Valcea, Anul 2013, Mii persoane, 178.2
Total, Valcea, Anul 2014, Mii persoane, 170.7
Total, Valcea, Anul 2015, Mii persoane, 165.6
Total, Valcea, Anul 2016, Mii persoane, 162.6
Total, Valcea, Anul 2017, Mii persoane, 160.1
Total, Regiunea VEST, Anul 1990, Mii persoane, 1046.2
Total, Regiunea VEST, Anul 1991, Mii persoane, 1044.3
Total, Regiunea VEST, Anul 1992, Mii persoane, 1047
Total, Regiunea VEST, Anul 1993, Mii persoane, 1033
Total, Regiunea VEST, Anul 1994, Mii persoane, 1050.9
Total, Regiunea VEST, Anul 1995, Mii persoane, 1034.7
Total, Regiunea VEST, Anul 1996, Mii persoane, 971.8
Total, Regiunea VEST, Anul 1997, Mii persoane, 961.5
Total, Regiunea VEST, Anul 1998, Mii persoane, 931.8
Total, Regiunea VEST, Anul 1999, Mii persoane, 892.9
Total, Regiunea VEST, Anul 2000, Mii persoane, 916.8
Total, Regiunea VEST, Anul 2001, Mii persoane, 893.6
Total, Regiunea VEST, Anul 2002, Mii persoane, 872.7
Total, Regiunea VEST, Anul 2003, Mii persoane, 871.6
Total, Regiunea VEST, Anul 2004, Mii persoane, 868.9
Total, Regiunea VEST, Anul 2005, Mii persoane, 880.2
Total, Regiunea VEST, Anul 2006, Mii persoane, 874.8
Total, Regiunea VEST, Anul 2007, Mii persoane, 898.7
Total, Regiunea VEST, Anul 2008, Mii persoane, 890
Total, Regiunea VEST, Anul 2009, Mii persoane, 881.6
Total, Regiunea VEST, Anul 2010, Mii persoane, 862.6
Total, Regiunea VEST, Anul 2011, Mii persoane, 846.5
Total, Regiunea VEST, Anul 2012, Mii persoane, 870.5
Total, Regiunea VEST, Anul 2013, Mii persoane, 871.2
Total, Regiunea VEST, Anul 2014, Mii persoane, 866.6
Total, Regiunea VEST, Anul 2015, Mii persoane, 865.1
Total, Regiunea VEST, Anul 2016, Mii persoane, 856.6
Total, Regiunea VEST, Anul 2017, Mii persoane, 849.1
Total, Arad, Anul 1990, Mii persoane, 240.1
Total, Arad, Anul 1991, Mii persoane, 234.9
Total, Arad, Anul 1992, Mii persoane, 229.7
Total, Arad, Anul 1993, Mii persoane, 233.4
Total, Arad, Anul 1994, Mii persoane, 228.5
Total, Arad, Anul 1995, Mii persoane, 230.7
Total, Arad, Anul 1996, Mii persoane, 216.4
Total, Arad, Anul 1997, Mii persoane, 236.1
Total, Arad, Anul 1998, Mii persoane, 207.2
Total, Arad, Anul 1999, Mii persoane, 197.9
Total, Arad, Anul 2000, Mii persoane, 206.6
Total, Arad, Anul 2001, Mii persoane, 204.4
Total, Arad, Anul 2002, Mii persoane, 203.6
Total, Arad, Anul 2003, Mii persoane, 206.9
Total, Arad, Anul 2004, Mii persoane, 206.4
Total, Arad, Anul 2005, Mii persoane, 210.2
Total, Arad, Anul 2006, Mii persoane, 211.6
Total, Arad, Anul 2007, Mii persoane, 216.5
Total, Arad, Anul 2008, Mii persoane, 214.7
Total, Arad, Anul 2009, Mii persoane, 214.3
Total, Arad, Anul 2010, Mii persoane, 211.5
Total, Arad, Anul 2011, Mii persoane, 208.5
Total, Arad, Anul 2012, Mii persoane, 214
Total, Arad, Anul 2013, Mii persoane, 217.3
Total, Arad, Anul 2014, Mii persoane, 218.2
Total, Arad, Anul 2015, Mii persoane, 215.9
Total, Arad, Anul 2016, Mii persoane, 216.2
Total, Arad, Anul 2017, Mii persoane, 213.4
Total, Caras-Severin, Anul 1990, Mii persoane, 181.8
Total, Caras-Severin, Anul 1991, Mii persoane, 168.4
Total, Caras-Severin, Anul 1992, Mii persoane, 181
Total, Caras-Severin, Anul 1993, Mii persoane, 165
Total, Caras-Severin, Anul 1994, Mii persoane, 176.7
Total, Caras-Severin, Anul 1995, Mii persoane, 183.5
Total, Caras-Severin, Anul 1996, Mii persoane, 156.9
Total, Caras-Severin, Anul 1997, Mii persoane, 164.3
Total, Caras-Severin, Anul 1998, Mii persoane, 160.5
Total, Caras-Severin, Anul 1999, Mii persoane, 151.3
Total, Caras-Severin, Anul 2000, Mii persoane, 152.7
Total, Caras-Severin, Anul 2001, Mii persoane, 152.2
Total, Caras-Severin, Anul 2002, Mii persoane, 137.9
Total, Caras-Severin, Anul 2003, Mii persoane, 137.5
Total, Caras-Severin, Anul 2004, Mii persoane, 130.3
Total, Caras-Severin, Anul 2005, Mii persoane, 129.9
Total, Caras-Severin, Anul 2006, Mii persoane, 126.2
Total, Caras-Severin, Anul 2007, Mii persoane, 131.6
Total, Caras-Severin, Anul 2008, Mii persoane, 128.7
Total, Caras-Severin, Anul 2009, Mii persoane, 130.7
Total, Caras-Severin, Anul 2010, Mii persoane, 125.3
Total, Caras-Severin, Anul 2011, Mii persoane, 119.3
Total, Caras-Severin, Anul 2012, Mii persoane, 121.8
Total, Caras-Severin, Anul 2013, Mii persoane, 119
Total, Caras-Severin, Anul 2014, Mii persoane, 117.4
Total, Caras-Severin, Anul 2015, Mii persoane, 117.3
Total, Caras-Severin, Anul 2016, Mii persoane, 111.1
Total, Caras-Severin, Anul 2017, Mii persoane, 109.4
Total, Hunedoara, Anul 1990, Mii persoane, 276.6
Total, Hunedoara, Anul 1991, Mii persoane, 280.4
Total, Hunedoara, Anul 1992, Mii persoane, 281.9
Total, Hunedoara, Anul 1993, Mii persoane, 279.4
Total, Hunedoara, Anul 1994, Mii persoane, 290.8
Total, Hunedoara, Anul 1995, Mii persoane, 286.6
Total, Hunedoara, Anul 1996, Mii persoane, 290.3
Total, Hunedoara, Anul 1997, Mii persoane, 257.5
Total, Hunedoara, Anul 1998, Mii persoane, 250.3
Total, Hunedoara, Anul 1999, Mii persoane, 238.9
Total, Hunedoara, Anul 2000, Mii persoane, 238.3
Total, Hunedoara, Anul 2001, Mii persoane, 225.8
Total, Hunedoara, Anul 2002, Mii persoane, 217.1
Total, Hunedoara, Anul 2003, Mii persoane, 213.6
Total, Hunedoara, Anul 2004, Mii persoane, 214.9
Total, Hunedoara, Anul 2005, Mii persoane, 213.9
Total, Hunedoara, Anul 2006, Mii persoane, 205.7
Total, Hunedoara, Anul 2007, Mii persoane, 209.6
Total, Hunedoara, Anul 2008, Mii persoane, 206.6
Total, Hunedoara, Anul 2009, Mii persoane, 204.2
Total, Hunedoara, Anul 2010, Mii persoane, 194.8
Total, Hunedoara, Anul 2011, Mii persoane, 187.3
Total, Hunedoara, Anul 2012, Mii persoane, 193.8
Total, Hunedoara, Anul 2013, Mii persoane, 194
Total, Hunedoara, Anul 2014, Mii persoane, 189.4
Total, Hunedoara, Anul 2015, Mii persoane, 186.4
Total, Hunedoara, Anul 2016, Mii persoane, 181.3
Total, Hunedoara, Anul 2017, Mii persoane, 176.5
Total, Timis, Anul 1990, Mii persoane, 347.7
Total, Timis, Anul 1991, Mii persoane, 360.6
Total, Timis, Anul 1992, Mii persoane, 354.4
Total, Timis, Anul 1993, Mii persoane, 355.2
Total, Timis, Anul 1994, Mii persoane, 354.9
Total, Timis, Anul 1995, Mii persoane, 333.9
Total, Timis, Anul 1996, Mii persoane, 308.2
Total, Timis, Anul 1997, Mii persoane, 303.6
Total, Timis, Anul 1998, Mii persoane, 313.8
Total, Timis, Anul 1999, Mii persoane, 304.8
Total, Timis, Anul 2000, Mii persoane, 319.2
Total, Timis, Anul 2001, Mii persoane, 311.2
Total, Timis, Anul 2002, Mii persoane, 314.1
Total, Timis, Anul 2003, Mii persoane, 313.6
Total, Timis, Anul 2004, Mii persoane, 317.3
Total, Timis, Anul 2005, Mii persoane, 326.2
Total, Timis, Anul 2006, Mii persoane, 331.3
Total, Timis, Anul 2007, Mii persoane, 341
Total, Timis, Anul 2008, Mii persoane, 340
Total, Timis, Anul 2009, Mii persoane, 332.4
Total, Timis, Anul 2010, Mii persoane, 331
Total, Timis, Anul 2011, Mii persoane, 331.4
Total, Timis, Anul 2012, Mii persoane, 340.9
Total, Timis, Anul 2013, Mii persoane, 340.9
Total, Timis, Anul 2014, Mii persoane, 341.6
Total, Timis, Anul 2015, Mii persoane, 345.5
Total, Timis, Anul 2016, Mii persoane, 348
Total, Timis, Anul 2017, Mii persoane, 349.8
Masculin, TOTAL, Anul 1990, Mii persoane, 5838.2
Masculin, TOTAL, Anul 1991, Mii persoane, 5855.7
Masculin, TOTAL, Anul 1992, Mii persoane, 5936.1
Masculin, TOTAL, Anul 1993, Mii persoane, 5894.5
Masculin, TOTAL, Anul 1994, Mii persoane, 5872.7
Masculin, TOTAL, Anul 1995, Mii persoane, 5636
Masculin, TOTAL, Anul 1996, Mii persoane, 5323.7
Masculin, TOTAL, Anul 1997, Mii persoane, 5297.2
Masculin, TOTAL, Anul 1998, Mii persoane, 5189.3
Masculin, TOTAL, Anul 1999, Mii persoane, 4962.8
Masculin, TOTAL, Anul 2000, Mii persoane, 4983.9
Masculin, TOTAL, Anul 2001, Mii persoane, 4854.4
Masculin, TOTAL, Anul 2002, Mii persoane, 4737.9
Masculin, TOTAL, Anul 2003, Mii persoane, 4751
Masculin, TOTAL, Anul 2004, Mii persoane, 4641.3
Masculin, TOTAL, Anul 2005, Mii persoane, 4728.9
Masculin, TOTAL, Anul 2006, Mii persoane, 4728.3
Masculin, TOTAL, Anul 2007, Mii persoane, 4845.4
Masculin, TOTAL, Anul 2008, Mii persoane, 4919.2
Masculin, TOTAL, Anul 2009, Mii persoane, 4854
Masculin, TOTAL, Anul 2010, Mii persoane, 4781.8
Masculin, TOTAL, Anul 2011, Mii persoane, 4645.5
Masculin, TOTAL, Anul 2012, Mii persoane, 4797.7
Masculin, TOTAL, Anul 2013, Mii persoane, 4821.3
Masculin, TOTAL, Anul 2014, Mii persoane, 4756.8
Masculin, TOTAL, Anul 2015, Mii persoane, 4744.3
Masculin, TOTAL, Anul 2016, Mii persoane, 4771.9
Masculin, TOTAL, Anul 2017, Mii persoane, 4766.2
Masculin, MACROREGIUNEA UNU, Anul 1990, Mii persoane, 1448.1
Masculin, MACROREGIUNEA UNU, Anul 1991, Mii persoane, 1459.9
Masculin, MACROREGIUNEA UNU, Anul 1992, Mii persoane, 1465.6
Masculin, MACROREGIUNEA UNU, Anul 1993, Mii persoane, 1456
Masculin, MACROREGIUNEA UNU, Anul 1994, Mii persoane, 1449.9
Masculin, MACROREGIUNEA UNU, Anul 1995, Mii persoane, 1383.8
Masculin, MACROREGIUNEA UNU, Anul 1996, Mii persoane, 1330.5
Masculin, MACROREGIUNEA UNU, Anul 1997, Mii persoane, 1324.3
Masculin, MACROREGIUNEA UNU, Anul 1998, Mii persoane, 1320.2
Masculin, MACROREGIUNEA UNU, Anul 1999, Mii persoane, 1269
Masculin, MACROREGIUNEA UNU, Anul 2000, Mii persoane, 1253.4
Masculin, MACROREGIUNEA UNU, Anul 2001, Mii persoane, 1223.2
Masculin, MACROREGIUNEA UNU, Anul 2002, Mii persoane, 1219.6
Masculin, MACROREGIUNEA UNU, Anul 2003, Mii persoane, 1216.7
Masculin, MACROREGIUNEA UNU, Anul 2004, Mii persoane, 1191.3
Masculin, MACROREGIUNEA UNU, Anul 2005, Mii persoane, 1196.7
Masculin, MACROREGIUNEA UNU, Anul 2006, Mii persoane, 1204.4
Masculin, MACROREGIUNEA UNU, Anul 2007, Mii persoane, 1243.6
Masculin, MACROREGIUNEA UNU, Anul 2008, Mii persoane, 1249.8
Masculin, MACROREGIUNEA UNU, Anul 2009, Mii persoane, 1252.1
Masculin, MACROREGIUNEA UNU, Anul 2010, Mii persoane, 1235.8
Masculin, MACROREGIUNEA UNU, Anul 2011, Mii persoane, 1212.9
Masculin, MACROREGIUNEA UNU, Anul 2012, Mii persoane, 1261.1
Masculin, MACROREGIUNEA UNU, Anul 2013, Mii persoane, 1275.3
Masculin, MACROREGIUNEA UNU, Anul 2014, Mii persoane, 1253.8
Masculin, MACROREGIUNEA UNU, Anul 2015, Mii persoane, 1257.2
Masculin, MACROREGIUNEA UNU, Anul 2016, Mii persoane, 1265.9
Masculin, MACROREGIUNEA UNU, Anul 2017, Mii persoane, 1279.9
Masculin, Regiunea NORD-VEST, Anul 1990, Mii persoane, 755.7
Masculin, Regiunea NORD-VEST, Anul 1991, Mii persoane, 768.9
Masculin, Regiunea NORD-VEST, Anul 1992, Mii persoane, 779.6
Masculin, Regiunea NORD-VEST, Anul 1993, Mii persoane, 771.2
Masculin, Regiunea NORD-VEST, Anul 1994, Mii persoane, 753.2
Masculin, Regiunea NORD-VEST, Anul 1995, Mii persoane, 710.5
Masculin, Regiunea NORD-VEST, Anul 1996, Mii persoane, 686.4
Masculin, Regiunea NORD-VEST, Anul 1997, Mii persoane, 672.1
Masculin, Regiunea NORD-VEST, Anul 1998, Mii persoane, 683.2
Masculin, Regiunea NORD-VEST, Anul 1999, Mii persoane, 652.3
Masculin, Regiunea NORD-VEST, Anul 2000, Mii persoane, 645.4
Masculin, Regiunea NORD-VEST, Anul 2001, Mii persoane, 638.1
Masculin, Regiunea NORD-VEST, Anul 2002, Mii persoane, 623.6
Masculin, Regiunea NORD-VEST, Anul 2003, Mii persoane, 627.1
Masculin, Regiunea NORD-VEST, Anul 2004, Mii persoane, 609.8
Masculin, Regiunea NORD-VEST, Anul 2005, Mii persoane, 617.2
Masculin, Regiunea NORD-VEST, Anul 2006, Mii persoane, 625.8
Masculin, Regiunea NORD-VEST, Anul 2007, Mii persoane, 649.3
Masculin, Regiunea NORD-VEST, Anul 2008, Mii persoane, 653.5
Masculin, Regiunea NORD-VEST, Anul 2009, Mii persoane, 652.3
Masculin, Regiunea NORD-VEST, Anul 2010, Mii persoane, 643.8
Masculin, Regiunea NORD-VEST, Anul 2011, Mii persoane, 634.7
Masculin, Regiunea NORD-VEST, Anul 2012, Mii persoane, 655.6
Masculin, Regiunea NORD-VEST, Anul 2013, Mii persoane, 664.8
Masculin, Regiunea NORD-VEST, Anul 2014, Mii persoane, 660.8
Masculin, Regiunea NORD-VEST, Anul 2015, Mii persoane, 659.6
Masculin, Regiunea NORD-VEST, Anul 2016, Mii persoane, 657.7
Masculin, Regiunea NORD-VEST, Anul 2017, Mii persoane, 669.8
Masculin, Bihor, Anul 1990, Mii persoane, 178.1
Masculin, Bihor, Anul 1991, Mii persoane, 173.2
Masculin, Bihor, Anul 1992, Mii persoane, 180.6
Masculin, Bihor, Anul 1993, Mii persoane, 183.1
Masculin, Bihor, Anul 1994, Mii persoane, 170
Masculin, Bihor, Anul 1995, Mii persoane, 151.8
Masculin, Bihor, Anul 1996, Mii persoane, 141.8
Masculin, Bihor, Anul 1997, Mii persoane, 143.1
Masculin, Bihor, Anul 1998, Mii persoane, 144.4
Masculin, Bihor, Anul 1999, Mii persoane, 143.8
Masculin, Bihor, Anul 2000, Mii persoane, 145.9
Masculin, Bihor, Anul 2001, Mii persoane, 145.1
Masculin, Bihor, Anul 2002, Mii persoane, 144
Masculin, Bihor, Anul 2003, Mii persoane, 148.6
Masculin, Bihor, Anul 2004, Mii persoane, 140.7
Masculin, Bihor, Anul 2005, Mii persoane, 143
Masculin, Bihor, Anul 2006, Mii persoane, 141.4
Masculin, Bihor, Anul 2007, Mii persoane, 149.7
Masculin, Bihor, Anul 2008, Mii persoane, 150.9
Masculin, Bihor, Anul 2009, Mii persoane, 144.3
