
Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Milioane lei, Valoare
Regiunea SUD-MUNTENIA, Anul 2005, Milioane lei, 36663.5
Regiunea SUD-MUNTENIA, Anul 2006, Milioane lei, 44050.7
Regiunea SUD-MUNTENIA, Anul 2007, Milioane lei, 53486.1
Regiunea SUD-MUNTENIA, Anul 2008, Milioane lei, 67581.7
Regiunea SUD-MUNTENIA, Anul 2009, Milioane lei, 69362.1
Regiunea SUD-MUNTENIA, Anul 2010, Milioane lei, 66193
Regiunea SUD-MUNTENIA, Anul 2011, Milioane lei, 73612.8
Regiunea SUD-MUNTENIA, Anul 2012, Milioane lei, 71087.1
Regiunea SUD-MUNTENIA, Anul 2013, Milioane lei, 77804.3
Regiunea SUD-MUNTENIA, Anul 2014, Milioane lei, 86814.7
Regiunea SUD-MUNTENIA, Anul 2015, Milioane lei, 86647.2
Arges, Anul 2000, Milioane lei, 2334.9
Arges, Anul 2001, Milioane lei, 3525.1
Arges, Anul 2002, Milioane lei, 4687.7
Arges, Anul 2003, Milioane lei, 6170.3
Arges, Anul 2004, Milioane lei, 7979.8
Arges, Anul 2005, Milioane lei, 9793.1
Arges, Anul 2006, Milioane lei, 11938.4
Arges, Anul 2007, Milioane lei, 14340.9
Arges, Anul 2008, Milioane lei, 17297.4
Arges, Anul 2009, Milioane lei, 18887.7
Arges, Anul 2010, Milioane lei, 16673.4
Arges, Anul 2011, Milioane lei, 16574.3
Arges, Anul 2012, Milioane lei, 15820.1
Arges, Anul 2013, Milioane lei, 16906
Arges, Anul 2014, Milioane lei, 17878.3
Arges, Anul 2015, Milioane lei, 19079
Calarasi, Anul 2000, Milioane lei, 705.7
Calarasi, Anul 2001, Milioane lei, 1184.2
Calarasi, Anul 2002, Milioane lei, 1269.7
Calarasi, Anul 2003, Milioane lei, 1715.8
Calarasi, Anul 2004, Milioane lei, 2509.4
Calarasi, Anul 2005, Milioane lei, 2299.8
Calarasi, Anul 2006, Milioane lei, 2744.6
Calarasi, Anul 2007, Milioane lei, 3274.4
Calarasi, Anul 2008, Milioane lei, 4918.2
Calarasi, Anul 2009, Milioane lei, 4423.3
Calarasi, Anul 2010, Milioane lei, 5613.7
Calarasi, Anul 2011, Milioane lei, 5480.9
Calarasi, Anul 2012, Milioane lei, 5522.9
Calarasi, Anul 2013, Milioane lei, 5776.8
Calarasi, Anul 2014, Milioane lei, 5845.4
Calarasi, Anul 2015, Milioane lei, 6550.5
Dambovita, Anul 2000, Milioane lei, 1452.9
Dambovita, Anul 2001, Milioane lei, 2068.9
Dambovita, Anul 2002, Milioane lei, 2766.1
Dambovita, Anul 2003, Milioane lei, 3690.7
Dambovita, Anul 2004, Milioane lei, 4646.4
Dambovita, Anul 2005, Milioane lei, 5081.8
Dambovita, Anul 2006, Milioane lei, 6338.9
Dambovita, Anul 2007, Milioane lei, 8181.4
Dambovita, Anul 2008, Milioane lei, 9637.7
Dambovita, Anul 2009, Milioane lei, 9648.3
Dambovita, Anul 2010, Milioane lei, 10776.1
Dambovita, Anul 2011, Milioane lei, 10608.1
Dambovita, Anul 2012, Milioane lei, 11451.7
Dambovita, Anul 2013, Milioane lei, 11787.6
Dambovita, Anul 2014, Milioane lei, 11594.5
Dambovita, Anul 2015, Milioane lei, 12629.6
Giurgiu, Anul 2000, Milioane lei, 573.5
Giurgiu, Anul 2001, Milioane lei, 1005.6
Giurgiu, Anul 2002, Milioane lei, 1153.6
Giurgiu, Anul 2003, Milioane lei, 1418.5
Giurgiu, Anul 2004, Milioane lei, 1938.4
Giurgiu, Anul 2005, Milioane lei, 2106.7
Giurgiu, Anul 2006, Milioane lei, 2445.6
Giurgiu, Anul 2007, Milioane lei, 2769.9
Giurgiu, Anul 2008, Milioane lei, 3786.1
Giurgiu, Anul 2009, Milioane lei, 4124.7
Giurgiu, Anul 2010, Milioane lei, 5045.5
Giurgiu, Anul 2011, Milioane lei, 4963.2
Giurgiu, Anul 2012, Milioane lei, 5009.2
Giurgiu, Anul 2013, Milioane lei, 4617.2
Giurgiu, Anul 2014, Milioane lei, 6027.8
Giurgiu, Anul 2015, Milioane lei, 6638.9
Ialomita, Anul 2000, Milioane lei, 811.3
Ialomita, Anul 2001, Milioane lei, 1268.2
Ialomita, Anul 2002, Milioane lei, 1512.6
Ialomita, Anul 2003, Milioane lei, 2058.7
Ialomita, Anul 2004, Milioane lei, 2778.9
Ialomita, Anul 2005, Milioane lei, 2869.3
Ialomita, Anul 2006, Milioane lei, 3264
Ialomita, Anul 2007, Milioane lei, 3367.8
Ialomita, Anul 2008, Milioane lei, 4871.6
Ialomita, Anul 2009, Milioane lei, 4721.5
Ialomita, Anul 2010, Milioane lei, 4821.5
Ialomita, Anul 2011, Milioane lei, 5321.6
Ialomita, Anul 2012, Milioane lei, 5538.7
Ialomita, Anul 2013, Milioane lei, 5887.3
Ialomita, Anul 2014, Milioane lei, 6161.4
Ialomita, Anul 2015, Milioane lei, 6615.3
Prahova, Anul 2000, Milioane lei, 3010.4
Prahova, Anul 2001, Milioane lei, 4401.6
Prahova, Anul 2002, Milioane lei, 5935.3
Prahova, Anul 2003, Milioane lei, 7410.1
Prahova, Anul 2004, Milioane lei, 9082.1
Prahova, Anul 2005, Milioane lei, 11269.9
Prahova, Anul 2006, Milioane lei, 13553.7
Prahova, Anul 2007, Milioane lei, 16741.9
Prahova, Anul 2008, Milioane lei, 20940.2
Prahova, Anul 2009, Milioane lei, 21539
Prahova, Anul 2010, Milioane lei, 17677.1
Prahova, Anul 2011, Milioane lei, 25155
Prahova, Anul 2012, Milioane lei, 21416.1
Prahova, Anul 2013, Milioane lei, 26159.7
Prahova, Anul 2014, Milioane lei, 32602.7
Prahova, Anul 2015, Milioane lei, 28086.3
Teleorman, Anul 2000, Milioane lei, 1084.4
Teleorman, Anul 2001, Milioane lei, 1776.2
Teleorman, Anul 2002, Milioane lei, 1993
Teleorman, Anul 2003, Milioane lei, 2402
Teleorman, Anul 2004, Milioane lei, 3256.3
Teleorman, Anul 2005, Milioane lei, 3242.9
Teleorman, Anul 2006, Milioane lei, 3765.5
Teleorman, Anul 2007, Milioane lei, 4809.8
Teleorman, Anul 2008, Milioane lei, 6130.5
Teleorman, Anul 2009, Milioane lei, 6017.6
Teleorman, Anul 2010, Milioane lei, 5585.7
Teleorman, Anul 2011, Milioane lei, 5509.7
Teleorman, Anul 2012, Milioane lei, 6328.4
Teleorman, Anul 2013, Milioane lei, 6669.7
Teleorman, Anul 2014, Milioane lei, 6704.6
Teleorman, Anul 2015, Milioane lei, 7047.6
Regiunea BUCURESTI - ILFOV, Anul 2000, Milioane lei, 18291
Regiunea BUCURESTI - ILFOV, Anul 2001, Milioane lei, 25034.8
Regiunea BUCURESTI - ILFOV, Anul 2002, Milioane lei, 32698.9
Regiunea BUCURESTI - ILFOV, Anul 2003, Milioane lei, 42393
Regiunea BUCURESTI - ILFOV, Anul 2004, Milioane lei, 53290.3
Regiunea BUCURESTI - ILFOV, Anul 2005, Milioane lei, 69434.8
Regiunea BUCURESTI - ILFOV, Anul 2006, Milioane lei, 81123.9
Regiunea BUCURESTI - ILFOV, Anul 2007, Milioane lei, 103453.5
Regiunea BUCURESTI - ILFOV, Anul 2008, Milioane lei, 140636
Regiunea BUCURESTI - ILFOV, Anul 2009, Milioane lei, 129333.5
Regiunea BUCURESTI - ILFOV, Anul 2010, Milioane lei, 132050.3
Regiunea BUCURESTI - ILFOV, Anul 2011, Milioane lei, 146579.6
Regiunea BUCURESTI - ILFOV, Anul 2012, Milioane lei, 157693.8
Regiunea BUCURESTI - ILFOV, Anul 2013, Milioane lei, 170844
Regiunea BUCURESTI - ILFOV, Anul 2014, Milioane lei, 178921.9
Regiunea BUCURESTI - ILFOV, Anul 2015, Milioane lei, 197788.4
Ilfov, Anul 2000, Milioane lei, 1362
Ilfov, Anul 2001, Milioane lei, 2071.8
Ilfov, Anul 2002, Milioane lei, 2702
Ilfov, Anul 2003, Milioane lei, 3794.2
Ilfov, Anul 2004, Milioane lei, 5276.1
Ilfov, Anul 2005, Milioane lei, 6767
Ilfov, Anul 2006, Milioane lei, 8825
Ilfov, Anul 2007, Milioane lei, 10329.6
Ilfov, Anul 2008, Milioane lei, 14219.3
Ilfov, Anul 2009, Milioane lei, 13387.4
Ilfov, Anul 2010, Milioane lei, 12558.8
Ilfov, Anul 2011, Milioane lei, 13559.4
Ilfov, Anul 2012, Milioane lei, 17586.5
Ilfov, Anul 2013, Milioane lei, 17119.3
Ilfov, Anul 2014, Milioane lei, 17149.5
Ilfov, Anul 2015, Milioane lei, 19129.4
Municipiul Bucuresti, Anul 2000, Milioane lei, 16929
Municipiul Bucuresti, Anul 2001, Milioane lei, 22963
Municipiul Bucuresti, Anul 2002, Milioane lei, 29996.9
Municipiul Bucuresti, Anul 2003, Milioane lei, 38598.8
Municipiul Bucuresti, Anul 2004, Milioane lei, 48014.2
Municipiul Bucuresti, Anul 2005, Milioane lei, 62667.8
Municipiul Bucuresti, Anul 2006, Milioane lei, 72298.9
Municipiul Bucuresti, Anul 2007, Milioane lei, 93123.9
Municipiul Bucuresti, Anul 2008, Milioane lei, 126416.7
Municipiul Bucuresti, Anul 2009, Milioane lei, 115946.1
Municipiul Bucuresti, Anul 2010, Milioane lei, 119491.5
Municipiul Bucuresti, Anul 2011, Milioane lei, 133020.2
Municipiul Bucuresti, Anul 2012, Milioane lei, 140107.3
Municipiul Bucuresti, Anul 2013, Milioane lei, 153724.7
Municipiul Bucuresti, Anul 2014, Milioane lei, 161772.4
Municipiul Bucuresti, Anul 2015, Milioane lei, 178659
MACROREGIUNEA PATRU, Anul 2000, Milioane lei, 14705
MACROREGIUNEA PATRU, Anul 2001, Milioane lei, 21919.3
MACROREGIUNEA PATRU, Anul 2002, Milioane lei, 27310.8
MACROREGIUNEA PATRU, Anul 2003, Milioane lei, 37136.4
MACROREGIUNEA PATRU, Anul 2004, Milioane lei, 46188.4
MACROREGIUNEA PATRU, Anul 2005, Milioane lei, 51865.6
MACROREGIUNEA PATRU, Anul 2006, Milioane lei, 63290.3
MACROREGIUNEA PATRU, Anul 2007, Milioane lei, 76425.3
MACROREGIUNEA PATRU, Anul 2008, Milioane lei, 94747.1
MACROREGIUNEA PATRU, Anul 2009, Milioane lei, 94073
MACROREGIUNEA PATRU, Anul 2010, Milioane lei, 96466.7
MACROREGIUNEA PATRU, Anul 2011, Milioane lei, 98538
MACROREGIUNEA PATRU, Anul 2012, Milioane lei, 104496.9
MACROREGIUNEA PATRU, Anul 2013, Milioane lei, 108543
MACROREGIUNEA PATRU, Anul 2014, Milioane lei, 109679.4
MACROREGIUNEA PATRU, Anul 2015, Milioane lei, 119514.2
Regiunea SUD-VEST OLTENIA, Anul 2000, Milioane lei, 7058.2
Regiunea SUD-VEST OLTENIA, Anul 2001, Milioane lei, 10646.5
Regiunea SUD-VEST OLTENIA, Anul 2002, Milioane lei, 12649.8
Regiunea SUD-VEST OLTENIA, Anul 2003, Milioane lei, 17572.4
Regiunea SUD-VEST OLTENIA, Anul 2004, Milioane lei, 21584.2
Regiunea SUD-VEST OLTENIA, Anul 2005, Milioane lei, 23499.4
Regiunea SUD-VEST OLTENIA, Anul 2006, Milioane lei, 28292
Regiunea SUD-VEST OLTENIA, Anul 2007, Milioane lei, 34178.3
Regiunea SUD-VEST OLTENIA, Anul 2008, Milioane lei, 41720.3
Regiunea SUD-VEST OLTENIA, Anul 2009, Milioane lei, 42001.2
Regiunea SUD-VEST OLTENIA, Anul 2010, Milioane lei, 42614.7
Regiunea SUD-VEST OLTENIA, Anul 2011, Milioane lei, 42696.8
Regiunea SUD-VEST OLTENIA, Anul 2012, Milioane lei, 46273.3
Regiunea SUD-VEST OLTENIA, Anul 2013, Milioane lei, 48013.1
Regiunea SUD-VEST OLTENIA, Anul 2014, Milioane lei, 48340
Regiunea SUD-VEST OLTENIA, Anul 2015, Milioane lei, 52067.7
Dolj, Anul 2000, Milioane lei, 2041.6
Dolj, Anul 2001, Milioane lei, 3064.6
Dolj, Anul 2002, Milioane lei, 3614.2
Dolj, Anul 2003, Milioane lei, 5154
Dolj, Anul 2004, Milioane lei, 6607.6
Dolj, Anul 2005, Milioane lei, 7332.1
Dolj, Anul 2006, Milioane lei, 8769.2
Dolj, Anul 2007, Milioane lei, 10795.2
Dolj, Anul 2008, Milioane lei, 13907.2
Dolj, Anul 2009, Milioane lei, 13962.3
Dolj, Anul 2010, Milioane lei, 13914.4
Dolj, Anul 2011, Milioane lei, 14512.8
Dolj, Anul 2012, Milioane lei, 14843.5
Dolj, Anul 2013, Milioane lei, 15636.4
Dolj, Anul 2014, Milioane lei, 16563.3
Dolj, Anul 2015, Milioane lei, 17230.8
Gorj, Anul 2000, Milioane lei, 1494.8
Gorj, Anul 2001, Milioane lei, 2273.6
Gorj, Anul 2002, Milioane lei, 3116.1
Gorj, Anul 2003, Milioane lei, 3988.1
Gorj, Anul 2004, Milioane lei, 4608.2
Gorj, Anul 2005, Milioane lei, 5014.1
Gorj, Anul 2006, Milioane lei, 5939.6
Gorj, Anul 2007, Milioane lei, 7244.6
Gorj, Anul 2008, Milioane lei, 8070.7
Gorj, Anul 2009, Milioane lei, 9281.3
Gorj, Anul 2010, Milioane lei, 9952
Gorj, Anul 2011, Milioane lei, 8838.5
Gorj, Anul 2012, Milioane lei, 10486
Gorj, Anul 2013, Milioane lei, 10846.3
Gorj, Anul 2014, Milioane lei, 9980.6
Gorj, Anul 2015, Milioane lei, 11310.8
Mehedinti, Anul 2000, Milioane lei, 780.6
Mehedinti, Anul 2001, Milioane lei, 1299.6
Mehedinti, Anul 2002, Milioane lei, 1462.4
Mehedinti, Anul 2003, Milioane lei, 2184.2
Mehedinti, Anul 2004, Milioane lei, 2596
Mehedinti, Anul 2005, Milioane lei, 2597.4
Mehedinti, Anul 2006, Milioane lei, 3222.8
Mehedinti, Anul 2007, Milioane lei, 3736.6
Mehedinti, Anul 2008, Milioane lei, 4521
Mehedinti, Anul 2009, Milioane lei, 4597.3
Mehedinti, Anul 2010, Milioane lei, 4340.1
Mehedinti, Anul 2011, Milioane lei, 4398.6
Mehedinti, Anul 2012, Milioane lei, 4621.6
Mehedinti, Anul 2013, Milioane lei, 4653.6
Mehedinti, Anul 2014, Milioane lei, 4748.3
Mehedinti, Anul 2015, Milioane lei, 5122.8
Olt, Anul 2000, Milioane lei, 1387.3
Olt, Anul 2001, Milioane lei, 2000.9
Olt, Anul 2002, Milioane lei, 2109.8
Olt, Anul 2003, Milioane lei, 2813.9
Olt, Anul 2004, Milioane lei, 3671.8
Olt, Anul 2005, Milioane lei, 3867.8
Olt, Anul 2006, Milioane lei, 4571.2
Olt, Anul 2007, Milioane lei, 5617.5
Olt, Anul 2008, Milioane lei, 6951.4
Olt, Anul 2009, Milioane lei, 6392.6
Olt, Anul 2010, Milioane lei, 6940.9
Olt, Anul 2011, Milioane lei, 6996.8
Olt, Anul 2012, Milioane lei, 7775.4
Olt, Anul 2013, Milioane lei, 8064
Olt, Anul 2014, Milioane lei, 8459.5
Olt, Anul 2015, Milioane lei, 8645
Valcea, Anul 2000, Milioane lei, 1353.9
Valcea, Anul 2001, Milioane lei, 2007.8
Valcea, Anul 2002, Milioane lei, 2347.3
Valcea, Anul 2003, Milioane lei, 3432.2
Valcea, Anul 2004, Milioane lei, 4100.6
Valcea, Anul 2005, Milioane lei, 4688
Valcea, Anul 2006, Milioane lei, 5789.2
Valcea, Anul 2007, Milioane lei, 6784.4
Valcea, Anul 2008, Milioane lei, 8270
Valcea, Anul 2009, Milioane lei, 7767.7
Valcea, Anul 2010, Milioane lei, 7467.3
Valcea, Anul 2011, Milioane lei, 7950.1
Valcea, Anul 2012, Milioane lei, 8546.8
Valcea, Anul 2013, Milioane lei, 8812.8
Valcea, Anul 2014, Milioane lei, 8588.3
Valcea, Anul 2015, Milioane lei, 9758.3
Regiunea VEST, Anul 2000, Milioane lei, 7646.8
Regiunea VEST, Anul 2001, Milioane lei, 11272.8
Regiunea VEST, Anul 2002, Milioane lei, 14661
Regiunea VEST, Anul 2003, Milioane lei, 19564
Regiunea VEST, Anul 2004, Milioane lei, 24604.2
Regiunea VEST, Anul 2005, Milioane lei, 28366.2
Regiunea VEST, Anul 2006, Milioane lei, 34998.3
Regiunea VEST, Anul 2007, Milioane lei, 42247
Regiunea VEST, Anul 2008, Milioane lei, 53026.8
Regiunea VEST, Anul 2009, Milioane lei, 52071.8
Regiunea VEST, Anul 2010, Milioane lei, 53852
Regiunea VEST, Anul 2011, Milioane lei, 55841.2
Regiunea VEST, Anul 2012, Milioane lei, 58223.6
Regiunea VEST, Anul 2013, Milioane lei, 60529.9
Regiunea VEST, Anul 2014, Milioane lei, 61339.4
Regiunea VEST, Anul 2015, Milioane lei, 67446.5
Arad, Anul 2000, Milioane lei, 1879.9
Arad, Anul 2001, Milioane lei, 2750.6
Arad, Anul 2002, Milioane lei, 3494.3
Arad, Anul 2003, Milioane lei, 4525.6
Arad, Anul 2004, Milioane lei, 5957.8
Arad, Anul 2005, Milioane lei, 6632.4
Arad, Anul 2006, Milioane lei, 8273.6
Arad, Anul 2007, Milioane lei, 9469
Arad, Anul 2008, Milioane lei, 11521.2
Arad, Anul 2009, Milioane lei, 11388.3
Arad, Anul 2010, Milioane lei, 11532
Arad, Anul 2011, Milioane lei, 12416.8
Arad, Anul 2012, Milioane lei, 13046.4
Arad, Anul 2013, Milioane lei, 13716.5
Arad, Anul 2014, Milioane lei, 13820
Arad, Anul 2015, Milioane lei, 15321.7
Caras-Severin, Anul 2000, Milioane lei, 1048.8
Caras-Severin, Anul 2001, Milioane lei, 1558.4
Caras-Severin, Anul 2002, Milioane lei, 1964.8
Caras-Severin, Anul 2003, Milioane lei, 2706.5
Caras-Severin, Anul 2004, Milioane lei, 3340.1
Caras-Severin, Anul 2005, Milioane lei, 3654.4
Caras-Severin, Anul 2006, Milioane lei, 4373.8
Caras-Severin, Anul 2007, Milioane lei, 5176.8
Caras-Severin, Anul 2008, Milioane lei, 6156
Caras-Severin, Anul 2009, Milioane lei, 6717.8
Caras-Severin, Anul 2010, Milioane lei, 6674.7
Caras-Severin, Anul 2011, Milioane lei, 6259.5
Caras-Severin, Anul 2012, Milioane lei, 6968.5
Caras-Severin, Anul 2013, Milioane lei, 6754.9
Caras-Severin, Anul 2014, Milioane lei, 6831.8
Caras-Severin, Anul 2015, Milioane lei, 7634.7
Hunedoara, Anul 2000, Milioane lei, 1720.6
Hunedoara, Anul 2001, Milioane lei, 2481.3
Hunedoara, Anul 2002, Milioane lei, 3317.2
Hunedoara, Anul 2003, Milioane lei, 4241.7
Hunedoara, Anul 2004, Milioane lei, 5288.6
Hunedoara, Anul 2005, Milioane lei, 5913
Hunedoara, Anul 2006, Milioane lei, 7012
Hunedoara, Anul 2007, Milioane lei, 9045.1
Hunedoara, Anul 2008, Milioane lei, 10041.9
Hunedoara, Anul 2009, Milioane lei, 9821.5
Hunedoara, Anul 2010, Milioane lei, 9455.6
Hunedoara, Anul 2011, Milioane lei, 9410
Hunedoara, Anul 2012, Milioane lei, 11142.1
Hunedoara, Anul 2013, Milioane lei, 10428.5
Hunedoara, Anul 2014, Milioane lei, 10917.1
Hunedoara, Anul 2015, Milioane lei, 10878.5
Timis, Anul 2000, Milioane lei, 2997.5
Timis, Anul 2001, Milioane lei, 4482.5
Timis, Anul 2002, Milioane lei, 5884.7
Timis, Anul 2003, Milioane lei, 8090.2
Timis, Anul 2004, Milioane lei, 10017.7
Timis, Anul 2005, Milioane lei, 12166.4
Timis, Anul 2006, Milioane lei, 15338.9
Timis, Anul 2007, Milioane lei, 18556.1
Timis, Anul 2008, Milioane lei, 25307.7
Timis, Anul 2009, Milioane lei, 24144.2
Timis, Anul 2010, Milioane lei, 26189.7
Timis, Anul 2011, Milioane lei, 27754.9
Timis, Anul 2012, Milioane lei, 27066.6
Timis, Anul 2013, Milioane lei, 29630
Timis, Anul 2014, Milioane lei, 29770.5
Timis, Anul 2015, Milioane lei, 33611.6
Extra-regiuni, Anul 2000, Milioane lei, 108.7
Extra-regiuni, Anul 2001, Milioane lei, 111
Extra-regiuni, Anul 2002, Milioane lei, 129.4
Extra-regiuni, Anul 2003, Milioane lei, 155
Extra-regiuni, Anul 2004, Milioane lei, 170.1
Extra-regiuni, Anul 2005, Milioane lei, 205.6
Extra-regiuni, Anul 2006, Milioane lei, 224.4
Extra-regiuni, Anul 2007, Milioane lei, 374.5
Extra-regiuni, Anul 2008, Milioane lei, 451.2
Extra-regiuni, Anul 2009, Milioane lei, 437.7
Extra-regiuni, Anul 2010, Milioane lei, 653.8
Extra-regiuni, Anul 2011, Milioane lei, 507.6
Extra-regiuni, Anul 2012, Milioane lei, 483.4
Extra-regiuni, Anul 2013, Milioane lei, 515.8
Extra-regiuni, Anul 2014, Milioane lei, 472.4
Extra-regiuni, Anul 2015, Milioane lei, 570.2
