
Gruparea dupa ocupatie a numarului de salariati din cercetare-dezvoltare, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Vaslui, Anul 1995, Numar persoane, 204
Total, Vaslui, Anul 1996, Numar persoane, 186
Total, Vaslui, Anul 1997, Numar persoane, 259
Total, Vaslui, Anul 1998, Numar persoane, 156
Total, Vaslui, Anul 1999, Numar persoane, 173
Total, Vaslui, Anul 2000, Numar persoane, 135
Total, Vaslui, Anul 2001, Numar persoane, 105
Total, Vaslui, Anul 2002, Numar persoane, 66
Total, Vaslui, Anul 2003, Numar persoane, 135
Total, Vaslui, Anul 2004, Numar persoane, 114
Total, Vaslui, Anul 2005, Numar persoane, 90
Total, Vaslui, Anul 2006, Numar persoane, 89
Total, Vaslui, Anul 2007, Numar persoane, 88
Total, Vaslui, Anul 2008, Numar persoane, 90
Total, Vaslui, Anul 2009, Numar persoane, 59
Total, Vaslui, Anul 2010, Numar persoane, 68
Total, Vaslui, Anul 2011, Numar persoane, 60
Total, Vaslui, Anul 2012, Numar persoane, 79
Total, Vaslui, Anul 2013, Numar persoane, 69
Total, Vaslui, Anul 2014, Numar persoane, 120
Total, Vaslui, Anul 2015, Numar persoane, 114
Total, Vaslui, Anul 2016, Numar persoane, 123
Total, Regiunea SUD-EST, Anul 1995, Numar persoane, 2961
Total, Regiunea SUD-EST, Anul 1996, Numar persoane, 2882
Total, Regiunea SUD-EST, Anul 1997, Numar persoane, 2853
Total, Regiunea SUD-EST, Anul 1998, Numar persoane, 2790
Total, Regiunea SUD-EST, Anul 1999, Numar persoane, 2278
Total, Regiunea SUD-EST, Anul 2000, Numar persoane, 2108
Total, Regiunea SUD-EST, Anul 2001, Numar persoane, 2086
Total, Regiunea SUD-EST, Anul 2002, Numar persoane, 1934
Total, Regiunea SUD-EST, Anul 2003, Numar persoane, 1934
Total, Regiunea SUD-EST, Anul 2004, Numar persoane, 1922
Total, Regiunea SUD-EST, Anul 2005, Numar persoane, 1898
Total, Regiunea SUD-EST, Anul 2006, Numar persoane, 2081
Total, Regiunea SUD-EST, Anul 2007, Numar persoane, 2201
Total, Regiunea SUD-EST, Anul 2008, Numar persoane, 1930
Total, Regiunea SUD-EST, Anul 2009, Numar persoane, 1865
Total, Regiunea SUD-EST, Anul 2010, Numar persoane, 1713
Total, Regiunea SUD-EST, Anul 2011, Numar persoane, 1515
Total, Regiunea SUD-EST, Anul 2012, Numar persoane, 1655
Total, Regiunea SUD-EST, Anul 2013, Numar persoane, 1583
Total, Regiunea SUD-EST, Anul 2014, Numar persoane, 1656
Total, Regiunea SUD-EST, Anul 2015, Numar persoane, 2023
Total, Regiunea SUD-EST, Anul 2016, Numar persoane, 2150
Total, Braila, Anul 1995, Numar persoane, 408
Total, Braila, Anul 1996, Numar persoane, 309
Total, Braila, Anul 1997, Numar persoane, 397
Total, Braila, Anul 1998, Numar persoane, 260
Total, Braila, Anul 1999, Numar persoane, 233
Total, Braila, Anul 2000, Numar persoane, 189
Total, Braila, Anul 2001, Numar persoane, 162
Total, Braila, Anul 2002, Numar persoane, 151
Total, Braila, Anul 2003, Numar persoane, 133
Total, Braila, Anul 2004, Numar persoane, 133
Total, Braila, Anul 2005, Numar persoane, 122
Total, Braila, Anul 2006, Numar persoane, 114
Total, Braila, Anul 2007, Numar persoane, 92
Total, Braila, Anul 2008, Numar persoane, 83
Total, Braila, Anul 2009, Numar persoane, 73
Total, Braila, Anul 2010, Numar persoane, 30
Total, Braila, Anul 2011, Numar persoane, 13
Total, Braila, Anul 2012, Numar persoane, 195
Total, Braila, Anul 2013, Numar persoane, 78
Total, Braila, Anul 2014, Numar persoane, 68
Total, Braila, Anul 2015, Numar persoane, 57
Total, Braila, Anul 2016, Numar persoane, 48
Total, Buzau, Anul 1995, Numar persoane, 75
Total, Buzau, Anul 1996, Numar persoane, 103
Total, Buzau, Anul 1997, Numar persoane, 331
Total, Buzau, Anul 1998, Numar persoane, 133
Total, Buzau, Anul 1999, Numar persoane, 122
Total, Buzau, Anul 2000, Numar persoane, 50
Total, Buzau, Anul 2001, Numar persoane, 68
Total, Buzau, Anul 2002, Numar persoane, 68
Total, Buzau, Anul 2003, Numar persoane, 54
Total, Buzau, Anul 2004, Numar persoane, 52
Total, Buzau, Anul 2005, Numar persoane, 70
Total, Buzau, Anul 2006, Numar persoane, 51
Total, Buzau, Anul 2007, Numar persoane, 53
Total, Buzau, Anul 2008, Numar persoane, 33
Total, Buzau, Anul 2009, Numar persoane, 38
Total, Buzau, Anul 2010, Numar persoane, 63
Total, Buzau, Anul 2011, Numar persoane, 73
Total, Buzau, Anul 2012, Numar persoane, 58
Total, Buzau, Anul 2013, Numar persoane, 68
Total, Buzau, Anul 2014, Numar persoane, 95
Total, Buzau, Anul 2015, Numar persoane, 98
Total, Buzau, Anul 2016, Numar persoane, 110
Total, Constanta, Anul 1995, Numar persoane, 440
Total, Constanta, Anul 1996, Numar persoane, 461
Total, Constanta, Anul 1997, Numar persoane, 432
Total, Constanta, Anul 1998, Numar persoane, 486
Total, Constanta, Anul 1999, Numar persoane, 407
Total, Constanta, Anul 2000, Numar persoane, 315
Total, Constanta, Anul 2001, Numar persoane, 310
Total, Constanta, Anul 2002, Numar persoane, 389
Total, Constanta, Anul 2003, Numar persoane, 407
Total, Constanta, Anul 2004, Numar persoane, 392
Total, Constanta, Anul 2005, Numar persoane, 454
Total, Constanta, Anul 2006, Numar persoane, 600
Total, Constanta, Anul 2007, Numar persoane, 620
Total, Constanta, Anul 2008, Numar persoane, 672
Total, Constanta, Anul 2009, Numar persoane, 735
Total, Constanta, Anul 2010, Numar persoane, 663
Total, Constanta, Anul 2011, Numar persoane, 787
Total, Constanta, Anul 2012, Numar persoane, 797
Total, Constanta, Anul 2013, Numar persoane, 850
Total, Constanta, Anul 2014, Numar persoane, 911
Total, Constanta, Anul 2015, Numar persoane, 1060
Total, Constanta, Anul 2016, Numar persoane, 1205
Total, Galati, Anul 1995, Numar persoane, 1847
Total, Galati, Anul 1996, Numar persoane, 1809
Total, Galati, Anul 1997, Numar persoane, 1479
Total, Galati, Anul 1998, Numar persoane, 1735
Total, Galati, Anul 1999, Numar persoane, 1378
Total, Galati, Anul 2000, Numar persoane, 1408
Total, Galati, Anul 2001, Numar persoane, 1449
Total, Galati, Anul 2002, Numar persoane, 1210
Total, Galati, Anul 2003, Numar persoane, 1221
Total, Galati, Anul 2004, Numar persoane, 1224
Total, Galati, Anul 2005, Numar persoane, 1136
Total, Galati, Anul 2006, Numar persoane, 1204
Total, Galati, Anul 2007, Numar persoane, 1307
Total, Galati, Anul 2008, Numar persoane, 900
Total, Galati, Anul 2009, Numar persoane, 794
Total, Galati, Anul 2010, Numar persoane, 812
Total, Galati, Anul 2011, Numar persoane, 458
Total, Galati, Anul 2012, Numar persoane, 388
Total, Galati, Anul 2013, Numar persoane, 387
Total, Galati, Anul 2014, Numar persoane, 369
Total, Galati, Anul 2015, Numar persoane, 605
Total, Galati, Anul 2016, Numar persoane, 560
Total, Tulcea, Anul 1995, Numar persoane, 128
Total, Tulcea, Anul 1996, Numar persoane, 145
Total, Tulcea, Anul 1997, Numar persoane, 125
Total, Tulcea, Anul 1998, Numar persoane, 134
Total, Tulcea, Anul 1999, Numar persoane, 99
Total, Tulcea, Anul 2000, Numar persoane, 111
Total, Tulcea, Anul 2001, Numar persoane, 66
Total, Tulcea, Anul 2002, Numar persoane, 86
Total, Tulcea, Anul 2003, Numar persoane, 87
Total, Tulcea, Anul 2004, Numar persoane, 92
Total, Tulcea, Anul 2005, Numar persoane, 98
Total, Tulcea, Anul 2006, Numar persoane, 98
Total, Tulcea, Anul 2007, Numar persoane, 118
Total, Tulcea, Anul 2008, Numar persoane, 226
Total, Tulcea, Anul 2009, Numar persoane, 210
Total, Tulcea, Anul 2010, Numar persoane, 127
Total, Tulcea, Anul 2011, Numar persoane, 176
Total, Tulcea, Anul 2012, Numar persoane, 175
Total, Tulcea, Anul 2013, Numar persoane, 174
Total, Tulcea, Anul 2014, Numar persoane, 208
Total, Tulcea, Anul 2015, Numar persoane, 198
Total, Tulcea, Anul 2016, Numar persoane, 202
Total, Vrancea, Anul 1995, Numar persoane, 63
Total, Vrancea, Anul 1996, Numar persoane, 55
Total, Vrancea, Anul 1997, Numar persoane, 89
Total, Vrancea, Anul 1998, Numar persoane, 42
Total, Vrancea, Anul 1999, Numar persoane, 39
Total, Vrancea, Anul 2000, Numar persoane, 35
Total, Vrancea, Anul 2001, Numar persoane, 31
Total, Vrancea, Anul 2002, Numar persoane, 30
Total, Vrancea, Anul 2003, Numar persoane, 32
Total, Vrancea, Anul 2004, Numar persoane, 29
Total, Vrancea, Anul 2005, Numar persoane, 18
Total, Vrancea, Anul 2006, Numar persoane, 14
Total, Vrancea, Anul 2007, Numar persoane, 11
Total, Vrancea, Anul 2008, Numar persoane, 16
Total, Vrancea, Anul 2009, Numar persoane, 15
Total, Vrancea, Anul 2010, Numar persoane, 18
Total, Vrancea, Anul 2011, Numar persoane, 8
Total, Vrancea, Anul 2012, Numar persoane, 42
Total, Vrancea, Anul 2013, Numar persoane, 26
Total, Vrancea, Anul 2014, Numar persoane, 5
Total, Vrancea, Anul 2015, Numar persoane, 5
Total, Vrancea, Anul 2016, Numar persoane, 25
Total, MACROREGIUNEA TREI, Anul 1995, Numar persoane, 47721
Total, MACROREGIUNEA TREI, Anul 1996, Numar persoane, 43180
Total, MACROREGIUNEA TREI, Anul 1997, Numar persoane, 35606
Total, MACROREGIUNEA TREI, Anul 1998, Numar persoane, 35690
Total, MACROREGIUNEA TREI, Anul 1999, Numar persoane, 29970
Total, MACROREGIUNEA TREI, Anul 2000, Numar persoane, 20902
Total, MACROREGIUNEA TREI, Anul 2001, Numar persoane, 20770
Total, MACROREGIUNEA TREI, Anul 2002, Numar persoane, 20986
Total, MACROREGIUNEA TREI, Anul 2003, Numar persoane, 22795
Total, MACROREGIUNEA TREI, Anul 2004, Numar persoane, 24711
Total, MACROREGIUNEA TREI, Anul 2005, Numar persoane, 25900
Total, MACROREGIUNEA TREI, Anul 2006, Numar persoane, 25731
Total, MACROREGIUNEA TREI, Anul 2007, Numar persoane, 24736
Total, MACROREGIUNEA TREI, Anul 2008, Numar persoane, 25850
Total, MACROREGIUNEA TREI, Anul 2009, Numar persoane, 23253
Total, MACROREGIUNEA TREI, Anul 2010, Numar persoane, 20475
Total, MACROREGIUNEA TREI, Anul 2011, Numar persoane, 24487
Total, MACROREGIUNEA TREI, Anul 2012, Numar persoane, 25138
Total, MACROREGIUNEA TREI, Anul 2013, Numar persoane, 25723
Total, MACROREGIUNEA TREI, Anul 2014, Numar persoane, 24038
Total, MACROREGIUNEA TREI, Anul 2015, Numar persoane, 23990
Total, MACROREGIUNEA TREI, Anul 2016, Numar persoane, 24804
Total, Regiunea SUD-MUNTENIA, Anul 1995, Numar persoane, 5453
Total, Regiunea SUD-MUNTENIA, Anul 1996, Numar persoane, 6276
Total, Regiunea SUD-MUNTENIA, Anul 1997, Numar persoane, 6130
Total, Regiunea SUD-MUNTENIA, Anul 1998, Numar persoane, 5691
Total, Regiunea SUD-MUNTENIA, Anul 1999, Numar persoane, 4589
Total, Regiunea SUD-MUNTENIA, Anul 2000, Numar persoane, 3976
Total, Regiunea SUD-MUNTENIA, Anul 2001, Numar persoane, 3845
Total, Regiunea SUD-MUNTENIA, Anul 2002, Numar persoane, 4016
Total, Regiunea SUD-MUNTENIA, Anul 2003, Numar persoane, 4205
Total, Regiunea SUD-MUNTENIA, Anul 2004, Numar persoane, 4080
Total, Regiunea SUD-MUNTENIA, Anul 2005, Numar persoane, 3850
Total, Regiunea SUD-MUNTENIA, Anul 2006, Numar persoane, 3794
Total, Regiunea SUD-MUNTENIA, Anul 2007, Numar persoane, 4376
Total, Regiunea SUD-MUNTENIA, Anul 2008, Numar persoane, 4484
Total, Regiunea SUD-MUNTENIA, Anul 2009, Numar persoane, 3676
Total, Regiunea SUD-MUNTENIA, Anul 2010, Numar persoane, 3543
Total, Regiunea SUD-MUNTENIA, Anul 2011, Numar persoane, 2253
Total, Regiunea SUD-MUNTENIA, Anul 2012, Numar persoane, 3236
Total, Regiunea SUD-MUNTENIA, Anul 2013, Numar persoane, 4595
Total, Regiunea SUD-MUNTENIA, Anul 2014, Numar persoane, 3826
Total, Regiunea SUD-MUNTENIA, Anul 2015, Numar persoane, 2902
Total, Regiunea SUD-MUNTENIA, Anul 2016, Numar persoane, 2836
Total, Arges, Anul 1995, Numar persoane, 1702
Total, Arges, Anul 1996, Numar persoane, 2247
Total, Arges, Anul 1997, Numar persoane, 2350
Total, Arges, Anul 1998, Numar persoane, 2161
Total, Arges, Anul 1999, Numar persoane, 1961
Total, Arges, Anul 2000, Numar persoane, 1828
Total, Arges, Anul 2001, Numar persoane, 1868
Total, Arges, Anul 2002, Numar persoane, 1915
Total, Arges, Anul 2003, Numar persoane, 2189
Total, Arges, Anul 2004, Numar persoane, 2179
Total, Arges, Anul 2005, Numar persoane, 2003
Total, Arges, Anul 2006, Numar persoane, 1987
Total, Arges, Anul 2007, Numar persoane, 2607
Total, Arges, Anul 2008, Numar persoane, 2575
Total, Arges, Anul 2009, Numar persoane, 2424
Total, Arges, Anul 2010, Numar persoane, 2333
Total, Arges, Anul 2011, Numar persoane, 1165
Total, Arges, Anul 2012, Numar persoane, 2130
Total, Arges, Anul 2013, Numar persoane, 3416
Total, Arges, Anul 2014, Numar persoane, 2884
Total, Arges, Anul 2015, Numar persoane, 2040
Total, Arges, Anul 2016, Numar persoane, 2000
Total, Calarasi, Anul 1995, Numar persoane, 1166
Total, Calarasi, Anul 1996, Numar persoane, 997
Total, Calarasi, Anul 1997, Numar persoane, 933
Total, Calarasi, Anul 1998, Numar persoane, 839
Total, Calarasi, Anul 1999, Numar persoane, 639
Total, Calarasi, Anul 2000, Numar persoane, 639
Total, Calarasi, Anul 2001, Numar persoane, 609
Total, Calarasi, Anul 2002, Numar persoane, 605
Total, Calarasi, Anul 2003, Numar persoane, 563
Total, Calarasi, Anul 2004, Numar persoane, 558
Total, Calarasi, Anul 2005, Numar persoane, 477
Total, Calarasi, Anul 2006, Numar persoane, 408
Total, Calarasi, Anul 2007, Numar persoane, 331
Total, Calarasi, Anul 2008, Numar persoane, 326
Total, Calarasi, Anul 2009, Numar persoane, 302
Total, Calarasi, Anul 2010, Numar persoane, 304
Total, Calarasi, Anul 2011, Numar persoane, 420
Total, Calarasi, Anul 2012, Numar persoane, 340
Total, Calarasi, Anul 2013, Numar persoane, 351
Total, Calarasi, Anul 2014, Numar persoane, 373
Total, Calarasi, Anul 2015, Numar persoane, 355
Total, Calarasi, Anul 2016, Numar persoane, 321
Total, Dambovita, Anul 1995, Numar persoane, 302
Total, Dambovita, Anul 1996, Numar persoane, 556
Total, Dambovita, Anul 1997, Numar persoane, 548
Total, Dambovita, Anul 1998, Numar persoane, 424
Total, Dambovita, Anul 1999, Numar persoane, 335
Total, Dambovita, Anul 2000, Numar persoane, 316
Total, Dambovita, Anul 2001, Numar persoane, 267
Total, Dambovita, Anul 2002, Numar persoane, 193
Total, Dambovita, Anul 2003, Numar persoane, 171
Total, Dambovita, Anul 2004, Numar persoane, 179
Total, Dambovita, Anul 2005, Numar persoane, 213
Total, Dambovita, Anul 2006, Numar persoane, 326
Total, Dambovita, Anul 2007, Numar persoane, 320
Total, Dambovita, Anul 2008, Numar persoane, 394
Total, Dambovita, Anul 2009, Numar persoane, 362
Total, Dambovita, Anul 2010, Numar persoane, 345
Total, Dambovita, Anul 2011, Numar persoane, 365
Total, Dambovita, Anul 2012, Numar persoane, 353
Total, Dambovita, Anul 2013, Numar persoane, 320
Total, Dambovita, Anul 2014, Numar persoane, 232
Total, Dambovita, Anul 2015, Numar persoane, 251
Total, Dambovita, Anul 2016, Numar persoane, 245
Total, Giurgiu, Anul 1995, Numar persoane, 227
Total, Giurgiu, Anul 1996, Numar persoane, 194
Total, Giurgiu, Anul 1997, Numar persoane, 185
Total, Giurgiu, Anul 1998, Numar persoane, 166
Total, Giurgiu, Anul 1999, Numar persoane, 81
Total, Giurgiu, Anul 2000, Numar persoane, 48
Total, Giurgiu, Anul 2001, Numar persoane, 41
Total, Giurgiu, Anul 2002, Numar persoane, 35
Total, Giurgiu, Anul 2003, Numar persoane, 41
Total, Giurgiu, Anul 2004, Numar persoane, 36
Total, Giurgiu, Anul 2005, Numar persoane, 33
Total, Giurgiu, Anul 2006, Numar persoane, 34
Total, Giurgiu, Anul 2007, Numar persoane, 7
Total, Giurgiu, Anul 2008, Numar persoane, 6
Total, Giurgiu, Anul 2009, Numar persoane, 1
Total, Giurgiu, Anul 2012, Numar persoane, 55
Total, Giurgiu, Anul 2013, Numar persoane, 7
Total, Giurgiu, Anul 2014, Numar persoane, 3
Total, Giurgiu, Anul 2015, Numar persoane, 25
Total, Giurgiu, Anul 2016, Numar persoane, 23
Total, Ialomita, Anul 2003, Numar persoane, 7
Total, Ialomita, Anul 2004, Numar persoane, 6
Total, Ialomita, Anul 2005, Numar persoane, 5
Total, Ialomita, Anul 2006, Numar persoane, 6
Total, Ialomita, Anul 2007, Numar persoane, 1
Total, Ialomita, Anul 2008, Numar persoane, 3
Total, Ialomita, Anul 2009, Numar persoane, 11
Total, Ialomita, Anul 2010, Numar persoane, 8
Total, Ialomita, Anul 2011, Numar persoane, 3
Total, Prahova, Anul 1995, Numar persoane, 1990
Total, Prahova, Anul 1996, Numar persoane, 2021
Total, Prahova, Anul 1997, Numar persoane, 1998
Total, Prahova, Anul 1998, Numar persoane, 1926
Total, Prahova, Anul 1999, Numar persoane, 1523
Total, Prahova, Anul 2000, Numar persoane, 1102
Total, Prahova, Anul 2001, Numar persoane, 1017
Total, Prahova, Anul 2002, Numar persoane, 1216
Total, Prahova, Anul 2003, Numar persoane, 1218
Total, Prahova, Anul 2004, Numar persoane, 1103
Total, Prahova, Anul 2005, Numar persoane, 1100
Total, Prahova, Anul 2006, Numar persoane, 1018
Total, Prahova, Anul 2007, Numar persoane, 1087
Total, Prahova, Anul 2008, Numar persoane, 1158
Total, Prahova, Anul 2009, Numar persoane, 556
Total, Prahova, Anul 2010, Numar persoane, 533
Total, Prahova, Anul 2011, Numar persoane, 277
Total, Prahova, Anul 2012, Numar persoane, 335
Total, Prahova, Anul 2013, Numar persoane, 474
Total, Prahova, Anul 2014, Numar persoane, 302
Total, Prahova, Anul 2015, Numar persoane, 204
Total, Prahova, Anul 2016, Numar persoane, 212
Total, Teleorman, Anul 1995, Numar persoane, 66
Total, Teleorman, Anul 1996, Numar persoane, 261
Total, Teleorman, Anul 1997, Numar persoane, 116
Total, Teleorman, Anul 1998, Numar persoane, 175
Total, Teleorman, Anul 1999, Numar persoane, 50
Total, Teleorman, Anul 2000, Numar persoane, 43
Total, Teleorman, Anul 2001, Numar persoane, 43
Total, Teleorman, Anul 2002, Numar persoane, 52
Total, Teleorman, Anul 2003, Numar persoane, 16
Total, Teleorman, Anul 2004, Numar persoane, 19
Total, Teleorman, Anul 2005, Numar persoane, 19
Total, Teleorman, Anul 2006, Numar persoane, 15
Total, Teleorman, Anul 2007, Numar persoane, 23
Total, Teleorman, Anul 2008, Numar persoane, 22
Total, Teleorman, Anul 2009, Numar persoane, 20
Total, Teleorman, Anul 2010, Numar persoane, 20
Total, Teleorman, Anul 2011, Numar persoane, 23
Total, Teleorman, Anul 2012, Numar persoane, 23
Total, Teleorman, Anul 2013, Numar persoane, 27
Total, Teleorman, Anul 2014, Numar persoane, 32
Total, Teleorman, Anul 2015, Numar persoane, 27
Total, Teleorman, Anul 2016, Numar persoane, 35
Total, Regiunea BUCURESTI - ILFOV, Anul 1995, Numar persoane, 42268
Total, Regiunea BUCURESTI - ILFOV, Anul 1996, Numar persoane, 36904
Total, Regiunea BUCURESTI - ILFOV, Anul 1997, Numar persoane, 29476
Total, Regiunea BUCURESTI - ILFOV, Anul 1998, Numar persoane, 29999
Total, Regiunea BUCURESTI - ILFOV, Anul 1999, Numar persoane, 25381
Total, Regiunea BUCURESTI - ILFOV, Anul 2000, Numar persoane, 16926
Total, Regiunea BUCURESTI - ILFOV, Anul 2001, Numar persoane, 16925
Total, Regiunea BUCURESTI - ILFOV, Anul 2002, Numar persoane, 16970
Total, Regiunea BUCURESTI - ILFOV, Anul 2003, Numar persoane, 18590
Total, Regiunea BUCURESTI - ILFOV, Anul 2004, Numar persoane, 20631
Total, Regiunea BUCURESTI - ILFOV, Anul 2005, Numar persoane, 22050
Total, Regiunea BUCURESTI - ILFOV, Anul 2006, Numar persoane, 21937
Total, Regiunea BUCURESTI - ILFOV, Anul 2007, Numar persoane, 20360
Total, Regiunea BUCURESTI - ILFOV, Anul 2008, Numar persoane, 21366
Total, Regiunea BUCURESTI - ILFOV, Anul 2009, Numar persoane, 19577
Total, Regiunea BUCURESTI - ILFOV, Anul 2010, Numar persoane, 16932
Total, Regiunea BUCURESTI - ILFOV, Anul 2011, Numar persoane, 22234
Total, Regiunea BUCURESTI - ILFOV, Anul 2012, Numar persoane, 21902
Total, Regiunea BUCURESTI - ILFOV, Anul 2013, Numar persoane, 21128
Total, Regiunea BUCURESTI - ILFOV, Anul 2014, Numar persoane, 20212
Total, Regiunea BUCURESTI - ILFOV, Anul 2015, Numar persoane, 21088
Total, Regiunea BUCURESTI - ILFOV, Anul 2016, Numar persoane, 21968
Total, Ilfov, Anul 1995, Numar persoane, 4945
Total, Ilfov, Anul 1996, Numar persoane, 4300
Total, Ilfov, Anul 1997, Numar persoane, 3971
Total, Ilfov, Anul 1998, Numar persoane, 3702
Total, Ilfov, Anul 1999, Numar persoane, 2803
Total, Ilfov, Anul 2000, Numar persoane, 2366
Total, Ilfov, Anul 2001, Numar persoane, 2462
Total, Ilfov, Anul 2002, Numar persoane, 2176
Total, Ilfov, Anul 2003, Numar persoane, 2076
Total, Ilfov, Anul 2004, Numar persoane, 2565
Total, Ilfov, Anul 2005, Numar persoane, 2205
Total, Ilfov, Anul 2006, Numar persoane, 2704
Total, Ilfov, Anul 2007, Numar persoane, 2760
Total, Ilfov, Anul 2008, Numar persoane, 2450
Total, Ilfov, Anul 2009, Numar persoane, 2408
Total, Ilfov, Anul 2010, Numar persoane, 2379
Total, Ilfov, Anul 2011, Numar persoane, 2613
Total, Ilfov, Anul 2012, Numar persoane, 3577
Total, Ilfov, Anul 2013, Numar persoane, 3295
Total, Ilfov, Anul 2014, Numar persoane, 3682
Total, Ilfov, Anul 2015, Numar persoane, 3997
Total, Ilfov, Anul 2016, Numar persoane, 4382
Total, Municipiul Bucuresti, Anul 1995, Numar persoane, 37323
Total, Municipiul Bucuresti, Anul 1996, Numar persoane, 32604
Total, Municipiul Bucuresti, Anul 1997, Numar persoane, 25505
Total, Municipiul Bucuresti, Anul 1998, Numar persoane, 26297
Total, Municipiul Bucuresti, Anul 1999, Numar persoane, 22578
Total, Municipiul Bucuresti, Anul 2000, Numar persoane, 14560
Total, Municipiul Bucuresti, Anul 2001, Numar persoane, 14463
Total, Municipiul Bucuresti, Anul 2002, Numar persoane, 14794
Total, Municipiul Bucuresti, Anul 2003, Numar persoane, 16514
Total, Municipiul Bucuresti, Anul 2004, Numar persoane, 18066
Total, Municipiul Bucuresti, Anul 2005, Numar persoane, 19845
Total, Municipiul Bucuresti, Anul 2006, Numar persoane, 19233
Total, Municipiul Bucuresti, Anul 2007, Numar persoane, 17600
Total, Municipiul Bucuresti, Anul 2008, Numar persoane, 18916
Total, Municipiul Bucuresti, Anul 2009, Numar persoane, 17169
Total, Municipiul Bucuresti, Anul 2010, Numar persoane, 14553
Total, Municipiul Bucuresti, Anul 2011, Numar persoane, 19621
Total, Municipiul Bucuresti, Anul 2012, Numar persoane, 18325
Total, Municipiul Bucuresti, Anul 2013, Numar persoane, 17833
Total, Municipiul Bucuresti, Anul 2014, Numar persoane, 16530
Total, Municipiul Bucuresti, Anul 2015, Numar persoane, 17091
Total, Municipiul Bucuresti, Anul 2016, Numar persoane, 17586
Total, MACROREGIUNEA PATRU, Anul 1995, Numar persoane, 4283
Total, MACROREGIUNEA PATRU, Anul 1996, Numar persoane, 5152
Total, MACROREGIUNEA PATRU, Anul 1997, Numar persoane, 6238
Total, MACROREGIUNEA PATRU, Anul 1998, Numar persoane, 6111
Total, MACROREGIUNEA PATRU, Anul 1999, Numar persoane, 5221
Total, MACROREGIUNEA PATRU, Anul 2000, Numar persoane, 4527
Total, MACROREGIUNEA PATRU, Anul 2001, Numar persoane, 4449
Total, MACROREGIUNEA PATRU, Anul 2002, Numar persoane, 4682
Total, MACROREGIUNEA PATRU, Anul 2003, Numar persoane, 6109
Total, MACROREGIUNEA PATRU, Anul 2004, Numar persoane, 6114
Total, MACROREGIUNEA PATRU, Anul 2005, Numar persoane, 4424
Total, MACROREGIUNEA PATRU, Anul 2006, Numar persoane, 4078
Total, MACROREGIUNEA PATRU, Anul 2007, Numar persoane, 4827
Total, MACROREGIUNEA PATRU, Anul 2008, Numar persoane, 4507
Total, MACROREGIUNEA PATRU, Anul 2009, Numar persoane, 5341
Total, MACROREGIUNEA PATRU, Anul 2010, Numar persoane, 6370
Total, MACROREGIUNEA PATRU, Anul 2011, Numar persoane, 5465
Total, MACROREGIUNEA PATRU, Anul 2012, Numar persoane, 5529
Total, MACROREGIUNEA PATRU, Anul 2013, Numar persoane, 5921
Total, MACROREGIUNEA PATRU, Anul 2014, Numar persoane, 5580
Total, MACROREGIUNEA PATRU, Anul 2015, Numar persoane, 6132
Total, MACROREGIUNEA PATRU, Anul 2016, Numar persoane, 6056
Total, Regiunea SUD-VEST OLTENIA, Anul 1995, Numar persoane, 1600
Total, Regiunea SUD-VEST OLTENIA, Anul 1996, Numar persoane, 2690
Total, Regiunea SUD-VEST OLTENIA, Anul 1997, Numar persoane, 2888
Total, Regiunea SUD-VEST OLTENIA, Anul 1998, Numar persoane, 3140
Total, Regiunea SUD-VEST OLTENIA, Anul 1999, Numar persoane, 3090
Total, Regiunea SUD-VEST OLTENIA, Anul 2000, Numar persoane, 2720
Total, Regiunea SUD-VEST OLTENIA, Anul 2001, Numar persoane, 2775
Total, Regiunea SUD-VEST OLTENIA, Anul 2002, Numar persoane, 2757
Total, Regiunea SUD-VEST OLTENIA, Anul 2003, Numar persoane, 2841
Total, Regiunea SUD-VEST OLTENIA, Anul 2004, Numar persoane, 2799
Total, Regiunea SUD-VEST OLTENIA, Anul 2005, Numar persoane, 2569
Total, Regiunea SUD-VEST OLTENIA, Anul 2006, Numar persoane, 2491
Total, Regiunea SUD-VEST OLTENIA, Anul 2007, Numar persoane, 2506
Total, Regiunea SUD-VEST OLTENIA, Anul 2008, Numar persoane, 2321
Total, Regiunea SUD-VEST OLTENIA, Anul 2009, Numar persoane, 2290
Total, Regiunea SUD-VEST OLTENIA, Anul 2010, Numar persoane, 2315
Total, Regiunea SUD-VEST OLTENIA, Anul 2011, Numar persoane, 2282
Total, Regiunea SUD-VEST OLTENIA, Anul 2012, Numar persoane, 2076
Total, Regiunea SUD-VEST OLTENIA, Anul 2013, Numar persoane, 2058
Total, Regiunea SUD-VEST OLTENIA, Anul 2014, Numar persoane, 1960
Total, Regiunea SUD-VEST OLTENIA, Anul 2015, Numar persoane, 2101
Total, Regiunea SUD-VEST OLTENIA, Anul 2016, Numar persoane, 2025
Total, Dolj, Anul 1995, Numar persoane, 1066
Total, Dolj, Anul 1996, Numar persoane, 2088
Total, Dolj, Anul 1997, Numar persoane, 1898
Total, Dolj, Anul 1998, Numar persoane, 2459
Total, Dolj, Anul 1999, Numar persoane, 2434
Total, Dolj, Anul 2000, Numar persoane, 2226
Total, Dolj, Anul 2001, Numar persoane, 2234
Total, Dolj, Anul 2002, Numar persoane, 2237
