
Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Procente, Valoare
Total, Botosani, Anul 2008, Procente, 3.6
Total, Botosani, Anul 2009, Procente, 7.2
Total, Botosani, Anul 2010, Procente, 6.4
Total, Botosani, Anul 2011, Procente, 4
Total, Botosani, Anul 2012, Procente, 4.4
Total, Botosani, Anul 2013, Procente, 5.3
Total, Botosani, Anul 2014, Procente, 5
Total, Botosani, Anul 2015, Procente, 4.9
Total, Botosani, Anul 2016, Procente, 5.7
Total, Botosani, Anul 2017, Procente, 3.6
Total, Iasi, Anul 1991, Procente, 4
Total, Iasi, Anul 1992, Procente, 11
Total, Iasi, Anul 1993, Procente, 11.5
Total, Iasi, Anul 1994, Procente, 16.1
Total, Iasi, Anul 1995, Procente, 12.7
Total, Iasi, Anul 1996, Procente, 8.9
Total, Iasi, Anul 1997, Procente, 10.4
Total, Iasi, Anul 1998, Procente, 11.1
Total, Iasi, Anul 1999, Procente, 12.3
Total, Iasi, Anul 2000, Procente, 10.9
Total, Iasi, Anul 2001, Procente, 9.4
Total, Iasi, Anul 2002, Procente, 9.7
Total, Iasi, Anul 2003, Procente, 9.5
Total, Iasi, Anul 2004, Procente, 7.1
Total, Iasi, Anul 2005, Procente, 7.2
Total, Iasi, Anul 2006, Procente, 6.5
Total, Iasi, Anul 2007, Procente, 5.6
Total, Iasi, Anul 2008, Procente, 5.4
Total, Iasi, Anul 2009, Procente, 7.4
Total, Iasi, Anul 2010, Procente, 7
Total, Iasi, Anul 2011, Procente, 5.4
Total, Iasi, Anul 2012, Procente, 5.1
Total, Iasi, Anul 2013, Procente, 5.2
Total, Iasi, Anul 2014, Procente, 5
Total, Iasi, Anul 2015, Procente, 4.5
Total, Iasi, Anul 2016, Procente, 4.5
Total, Iasi, Anul 2017, Procente, 4.1
Total, Neamt, Anul 1991, Procente, 5.6
Total, Neamt, Anul 1992, Procente, 12.7
Total, Neamt, Anul 1993, Procente, 17.6
Total, Neamt, Anul 1994, Procente, 17.3
Total, Neamt, Anul 1995, Procente, 17.3
Total, Neamt, Anul 1996, Procente, 13.1
Total, Neamt, Anul 1997, Procente, 14.8
Total, Neamt, Anul 1998, Procente, 16.3
Total, Neamt, Anul 1999, Procente, 17.8
Total, Neamt, Anul 2000, Procente, 16.6
Total, Neamt, Anul 2001, Procente, 14.1
Total, Neamt, Anul 2002, Procente, 10.7
Total, Neamt, Anul 2003, Procente, 8.2
Total, Neamt, Anul 2004, Procente, 7.2
Total, Neamt, Anul 2005, Procente, 5.6
Total, Neamt, Anul 2006, Procente, 4.9
Total, Neamt, Anul 2007, Procente, 3.8
Total, Neamt, Anul 2008, Procente, 4.1
Total, Neamt, Anul 2009, Procente, 7.9
Total, Neamt, Anul 2010, Procente, 7.7
Total, Neamt, Anul 2011, Procente, 5.2
Total, Neamt, Anul 2012, Procente, 5.4
Total, Neamt, Anul 2013, Procente, 6.2
Total, Neamt, Anul 2014, Procente, 6.1
Total, Neamt, Anul 2015, Procente, 6.1
Total, Neamt, Anul 2016, Procente, 6.1
Total, Neamt, Anul 2017, Procente, 5
Total, Suceava, Anul 1991, Procente, 4.3
Total, Suceava, Anul 1992, Procente, 10.4
Total, Suceava, Anul 1993, Procente, 12.2
Total, Suceava, Anul 1994, Procente, 13.5
Total, Suceava, Anul 1995, Procente, 11.9
Total, Suceava, Anul 1996, Procente, 11.1
Total, Suceava, Anul 1997, Procente, 12.4
Total, Suceava, Anul 1998, Procente, 13.7
Total, Suceava, Anul 1999, Procente, 13.5
Total, Suceava, Anul 2000, Procente, 12.2
Total, Suceava, Anul 2001, Procente, 8.6
Total, Suceava, Anul 2002, Procente, 10.3
Total, Suceava, Anul 2003, Procente, 8.1
Total, Suceava, Anul 2004, Procente, 7.8
Total, Suceava, Anul 2005, Procente, 6
Total, Suceava, Anul 2006, Procente, 4.7
Total, Suceava, Anul 2007, Procente, 3.7
Total, Suceava, Anul 2008, Procente, 4.3
Total, Suceava, Anul 2009, Procente, 7.9
Total, Suceava, Anul 2010, Procente, 7.3
Total, Suceava, Anul 2011, Procente, 4.9
Total, Suceava, Anul 2012, Procente, 5.5
Total, Suceava, Anul 2013, Procente, 6.5
Total, Suceava, Anul 2014, Procente, 6.7
Total, Suceava, Anul 2015, Procente, 6.5
Total, Suceava, Anul 2016, Procente, 6.2
Total, Suceava, Anul 2017, Procente, 5.4
Total, Vaslui, Anul 1991, Procente, 5.2
Total, Vaslui, Anul 1992, Procente, 14.7
Total, Vaslui, Anul 1993, Procente, 22.9
Total, Vaslui, Anul 1994, Procente, 24.1
Total, Vaslui, Anul 1995, Procente, 14.8
Total, Vaslui, Anul 1996, Procente, 9.7
Total, Vaslui, Anul 1997, Procente, 13.5
Total, Vaslui, Anul 1998, Procente, 18
Total, Vaslui, Anul 1999, Procente, 17.5
Total, Vaslui, Anul 2000, Procente, 15.4
Total, Vaslui, Anul 2001, Procente, 13.3
Total, Vaslui, Anul 2002, Procente, 15.9
Total, Vaslui, Anul 2003, Procente, 12.3
Total, Vaslui, Anul 2004, Procente, 11
Total, Vaslui, Anul 2005, Procente, 10.1
Total, Vaslui, Anul 2006, Procente, 11.3
Total, Vaslui, Anul 2007, Procente, 9.7
Total, Vaslui, Anul 2008, Procente, 10.2
Total, Vaslui, Anul 2009, Procente, 13.9
Total, Vaslui, Anul 2010, Procente, 11.8
Total, Vaslui, Anul 2011, Procente, 9.8
Total, Vaslui, Anul 2012, Procente, 10.1
Total, Vaslui, Anul 2013, Procente, 10.7
Total, Vaslui, Anul 2014, Procente, 11.4
Total, Vaslui, Anul 2015, Procente, 11.2
Total, Vaslui, Anul 2016, Procente, 12
Total, Vaslui, Anul 2017, Procente, 10.4
Total, Regiunea SUD-EST, Anul 1991, Procente, 4
Total, Regiunea SUD-EST, Anul 1992, Procente, 10.4
Total, Regiunea SUD-EST, Anul 1993, Procente, 11.9
Total, Regiunea SUD-EST, Anul 1994, Procente, 11.9
Total, Regiunea SUD-EST, Anul 1995, Procente, 10.6
Total, Regiunea SUD-EST, Anul 1996, Procente, 7.4
Total, Regiunea SUD-EST, Anul 1997, Procente, 9.4
Total, Regiunea SUD-EST, Anul 1998, Procente, 11.7
Total, Regiunea SUD-EST, Anul 1999, Procente, 13.2
Total, Regiunea SUD-EST, Anul 2000, Procente, 11.4
Total, Regiunea SUD-EST, Anul 2001, Procente, 9.8
Total, Regiunea SUD-EST, Anul 2002, Procente, 10
Total, Regiunea SUD-EST, Anul 2003, Procente, 8.1
Total, Regiunea SUD-EST, Anul 2004, Procente, 6.9
Total, Regiunea SUD-EST, Anul 2005, Procente, 6.4
Total, Regiunea SUD-EST, Anul 2006, Procente, 5.6
Total, Regiunea SUD-EST, Anul 2007, Procente, 4.4
Total, Regiunea SUD-EST, Anul 2008, Procente, 4.7
Total, Regiunea SUD-EST, Anul 2009, Procente, 8.4
Total, Regiunea SUD-EST, Anul 2010, Procente, 8.1
Total, Regiunea SUD-EST, Anul 2011, Procente, 6.1
Total, Regiunea SUD-EST, Anul 2012, Procente, 6.4
Total, Regiunea SUD-EST, Anul 2013, Procente, 6.7
Total, Regiunea SUD-EST, Anul 2014, Procente, 6.9
Total, Regiunea SUD-EST, Anul 2015, Procente, 6.6
Total, Regiunea SUD-EST, Anul 2016, Procente, 6.7
Total, Regiunea SUD-EST, Anul 2017, Procente, 5.6
Total, Braila, Anul 1991, Procente, 4.6
Total, Braila, Anul 1992, Procente, 12.6
Total, Braila, Anul 1993, Procente, 11
Total, Braila, Anul 1994, Procente, 9.9
Total, Braila, Anul 1995, Procente, 10.8
Total, Braila, Anul 1996, Procente, 8.2
Total, Braila, Anul 1997, Procente, 13.5
Total, Braila, Anul 1998, Procente, 17.2
Total, Braila, Anul 1999, Procente, 18
Total, Braila, Anul 2000, Procente, 15.3
Total, Braila, Anul 2001, Procente, 11.6
Total, Braila, Anul 2002, Procente, 10
Total, Braila, Anul 2003, Procente, 8.5
Total, Braila, Anul 2004, Procente, 8.7
Total, Braila, Anul 2005, Procente, 6.8
Total, Braila, Anul 2006, Procente, 5.4
Total, Braila, Anul 2007, Procente, 3.9
Total, Braila, Anul 2008, Procente, 4.4
Total, Braila, Anul 2009, Procente, 8
Total, Braila, Anul 2010, Procente, 8.7
Total, Braila, Anul 2011, Procente, 5.8
Total, Braila, Anul 2012, Procente, 6.5
Total, Braila, Anul 2013, Procente, 7
Total, Braila, Anul 2014, Procente, 7.4
Total, Braila, Anul 2015, Procente, 7.2
Total, Braila, Anul 2016, Procente, 6.9
Total, Braila, Anul 2017, Procente, 5
Total, Buzau, Anul 1991, Procente, 3.7
Total, Buzau, Anul 1992, Procente, 13.1
Total, Buzau, Anul 1993, Procente, 14.6
Total, Buzau, Anul 1994, Procente, 15.2
Total, Buzau, Anul 1995, Procente, 13.4
Total, Buzau, Anul 1996, Procente, 7.6
Total, Buzau, Anul 1997, Procente, 9.5
Total, Buzau, Anul 1998, Procente, 12.6
Total, Buzau, Anul 1999, Procente, 14
Total, Buzau, Anul 2000, Procente, 12.7
Total, Buzau, Anul 2001, Procente, 12.1
Total, Buzau, Anul 2002, Procente, 9.3
Total, Buzau, Anul 2003, Procente, 7.4
Total, Buzau, Anul 2004, Procente, 6.7
Total, Buzau, Anul 2005, Procente, 7.4
Total, Buzau, Anul 2006, Procente, 7.5
Total, Buzau, Anul 2007, Procente, 5.5
Total, Buzau, Anul 2008, Procente, 5.7
Total, Buzau, Anul 2009, Procente, 9.4
Total, Buzau, Anul 2010, Procente, 9.7
Total, Buzau, Anul 2011, Procente, 8
Total, Buzau, Anul 2012, Procente, 7.9
Total, Buzau, Anul 2013, Procente, 8.6
Total, Buzau, Anul 2014, Procente, 9.7
Total, Buzau, Anul 2015, Procente, 10
Total, Buzau, Anul 2016, Procente, 9.8
Total, Buzau, Anul 2017, Procente, 8.7
Total, Constanta, Anul 1991, Procente, 3.2
Total, Constanta, Anul 1992, Procente, 6.3
Total, Constanta, Anul 1993, Procente, 9.7
Total, Constanta, Anul 1994, Procente, 9.2
Total, Constanta, Anul 1995, Procente, 8.7
Total, Constanta, Anul 1996, Procente, 5.7
Total, Constanta, Anul 1997, Procente, 6.1
Total, Constanta, Anul 1998, Procente, 8.5
Total, Constanta, Anul 1999, Procente, 11.3
Total, Constanta, Anul 2000, Procente, 10
Total, Constanta, Anul 2001, Procente, 9
Total, Constanta, Anul 2002, Procente, 8.7
Total, Constanta, Anul 2003, Procente, 7
Total, Constanta, Anul 2004, Procente, 5.9
Total, Constanta, Anul 2005, Procente, 5.6
Total, Constanta, Anul 2006, Procente, 4.3
Total, Constanta, Anul 2007, Procente, 3.5
Total, Constanta, Anul 2008, Procente, 3
Total, Constanta, Anul 2009, Procente, 6.4
Total, Constanta, Anul 2010, Procente, 5.8
Total, Constanta, Anul 2011, Procente, 4.3
Total, Constanta, Anul 2012, Procente, 4.5
Total, Constanta, Anul 2013, Procente, 4.4
Total, Constanta, Anul 2014, Procente, 4
Total, Constanta, Anul 2015, Procente, 3.6
Total, Constanta, Anul 2016, Procente, 3.5
Total, Constanta, Anul 2017, Procente, 3.1
Total, Galati, Anul 1991, Procente, 3.9
Total, Galati, Anul 1992, Procente, 9.4
Total, Galati, Anul 1993, Procente, 10.1
Total, Galati, Anul 1994, Procente, 12.8
Total, Galati, Anul 1995, Procente, 11.7
Total, Galati, Anul 1996, Procente, 9.6
Total, Galati, Anul 1997, Procente, 11.4
Total, Galati, Anul 1998, Procente, 13.1
Total, Galati, Anul 1999, Procente, 15.9
Total, Galati, Anul 2000, Procente, 12.6
Total, Galati, Anul 2001, Procente, 10.7
Total, Galati, Anul 2002, Procente, 14.8
Total, Galati, Anul 2003, Procente, 11
Total, Galati, Anul 2004, Procente, 9.6
Total, Galati, Anul 2005, Procente, 8.3
Total, Galati, Anul 2006, Procente, 7.2
Total, Galati, Anul 2007, Procente, 5.7
Total, Galati, Anul 2008, Procente, 6.6
Total, Galati, Anul 2009, Procente, 11.3
Total, Galati, Anul 2010, Procente, 10.4
Total, Galati, Anul 2011, Procente, 7.9
Total, Galati, Anul 2012, Procente, 8.9
Total, Galati, Anul 2013, Procente, 9.2
Total, Galati, Anul 2014, Procente, 9.5
Total, Galati, Anul 2015, Procente, 9
Total, Galati, Anul 2016, Procente, 9.7
Total, Galati, Anul 2017, Procente, 7.9
Total, Tulcea, Anul 1991, Procente, 6.2
Total, Tulcea, Anul 1992, Procente, 15.6
Total, Tulcea, Anul 1993, Procente, 16.8
Total, Tulcea, Anul 1994, Procente, 16.4
Total, Tulcea, Anul 1995, Procente, 11
Total, Tulcea, Anul 1996, Procente, 8.3
Total, Tulcea, Anul 1997, Procente, 12.3
Total, Tulcea, Anul 1998, Procente, 12.3
Total, Tulcea, Anul 1999, Procente, 12.7
Total, Tulcea, Anul 2000, Procente, 11.4
Total, Tulcea, Anul 2001, Procente, 9.2
Total, Tulcea, Anul 2002, Procente, 9.6
Total, Tulcea, Anul 2003, Procente, 8.7
Total, Tulcea, Anul 2004, Procente, 5.6
Total, Tulcea, Anul 2005, Procente, 6
Total, Tulcea, Anul 2006, Procente, 4.7
Total, Tulcea, Anul 2007, Procente, 3.8
Total, Tulcea, Anul 2008, Procente, 4.4
Total, Tulcea, Anul 2009, Procente, 8.9
Total, Tulcea, Anul 2010, Procente, 8.1
Total, Tulcea, Anul 2011, Procente, 5.8
Total, Tulcea, Anul 2012, Procente, 5.9
Total, Tulcea, Anul 2013, Procente, 5.9
Total, Tulcea, Anul 2014, Procente, 5.5
Total, Tulcea, Anul 2015, Procente, 5.5
Total, Tulcea, Anul 2016, Procente, 5.4
Total, Tulcea, Anul 2017, Procente, 4.7
Total, Vrancea, Anul 1991, Procente, 4.1
Total, Vrancea, Anul 1992, Procente, 10.9
Total, Vrancea, Anul 1993, Procente, 12.8
Total, Vrancea, Anul 1994, Procente, 10.5
Total, Vrancea, Anul 1995, Procente, 8.3
Total, Vrancea, Anul 1996, Procente, 5.7
Total, Vrancea, Anul 1997, Procente, 6.7
Total, Vrancea, Anul 1998, Procente, 8.1
Total, Vrancea, Anul 1999, Procente, 7.2
Total, Vrancea, Anul 2000, Procente, 6.1
Total, Vrancea, Anul 2001, Procente, 5.6
Total, Vrancea, Anul 2002, Procente, 5.9
Total, Vrancea, Anul 2003, Procente, 5.7
Total, Vrancea, Anul 2004, Procente, 4.2
Total, Vrancea, Anul 2005, Procente, 4
Total, Vrancea, Anul 2006, Procente, 4.1
Total, Vrancea, Anul 2007, Procente, 3.8
Total, Vrancea, Anul 2008, Procente, 4.4
Total, Vrancea, Anul 2009, Procente, 7.4
Total, Vrancea, Anul 2010, Procente, 7.4
Total, Vrancea, Anul 2011, Procente, 5.5
Total, Vrancea, Anul 2012, Procente, 5.5
Total, Vrancea, Anul 2013, Procente, 5.9
Total, Vrancea, Anul 2014, Procente, 6
Total, Vrancea, Anul 2015, Procente, 5.5
Total, Vrancea, Anul 2016, Procente, 5.8
Total, Vrancea, Anul 2017, Procente, 5
Total, MACROREGIUNEA TREI, Anul 1991, Procente, 2.1
Total, MACROREGIUNEA TREI, Anul 1992, Procente, 5.8
Total, MACROREGIUNEA TREI, Anul 1993, Procente, 7.9
Total, MACROREGIUNEA TREI, Anul 1994, Procente, 8.2
Total, MACROREGIUNEA TREI, Anul 1995, Procente, 7.5
Total, MACROREGIUNEA TREI, Anul 1996, Procente, 4.7
Total, MACROREGIUNEA TREI, Anul 1997, Procente, 7.1
Total, MACROREGIUNEA TREI, Anul 1998, Procente, 8.1
Total, MACROREGIUNEA TREI, Anul 1999, Procente, 10.1
Total, MACROREGIUNEA TREI, Anul 2000, Procente, 8.7
Total, MACROREGIUNEA TREI, Anul 2001, Procente, 7.2
Total, MACROREGIUNEA TREI, Anul 2002, Procente, 6.8
Total, MACROREGIUNEA TREI, Anul 2003, Procente, 6
Total, MACROREGIUNEA TREI, Anul 2004, Procente, 5.4
Total, MACROREGIUNEA TREI, Anul 2005, Procente, 5
Total, MACROREGIUNEA TREI, Anul 2006, Procente, 4.4
Total, MACROREGIUNEA TREI, Anul 2007, Procente, 3.4
Total, MACROREGIUNEA TREI, Anul 2008, Procente, 3.3
Total, MACROREGIUNEA TREI, Anul 2009, Procente, 5.9
Total, MACROREGIUNEA TREI, Anul 2010, Procente, 5.6
Total, MACROREGIUNEA TREI, Anul 2011, Procente, 4.2
Total, MACROREGIUNEA TREI, Anul 2012, Procente, 4.5
Total, MACROREGIUNEA TREI, Anul 2013, Procente, 4.7
Total, MACROREGIUNEA TREI, Anul 2014, Procente, 4.5
Total, MACROREGIUNEA TREI, Anul 2015, Procente, 4.1
Total, MACROREGIUNEA TREI, Anul 2016, Procente, 3.7
Total, MACROREGIUNEA TREI, Anul 2017, Procente, 3
Total, Regiunea SUD-MUNTENIA, Anul 1991, Procente, 2.7
Total, Regiunea SUD-MUNTENIA, Anul 1992, Procente, 6.6
Total, Regiunea SUD-MUNTENIA, Anul 1993, Procente, 9.2
Total, Regiunea SUD-MUNTENIA, Anul 1994, Procente, 9.9
Total, Regiunea SUD-MUNTENIA, Anul 1995, Procente, 9
Total, Regiunea SUD-MUNTENIA, Anul 1996, Procente, 5.6
Total, Regiunea SUD-MUNTENIA, Anul 1997, Procente, 8
Total, Regiunea SUD-MUNTENIA, Anul 1998, Procente, 10.1
Total, Regiunea SUD-MUNTENIA, Anul 1999, Procente, 11.8
Total, Regiunea SUD-MUNTENIA, Anul 2000, Procente, 10.4
Total, Regiunea SUD-MUNTENIA, Anul 2001, Procente, 8.9
Total, Regiunea SUD-MUNTENIA, Anul 2002, Procente, 9.2
Total, Regiunea SUD-MUNTENIA, Anul 2003, Procente, 8.3
Total, Regiunea SUD-MUNTENIA, Anul 2004, Procente, 7.4
Total, Regiunea SUD-MUNTENIA, Anul 2005, Procente, 7.3
Total, Regiunea SUD-MUNTENIA, Anul 2006, Procente, 6.4
Total, Regiunea SUD-MUNTENIA, Anul 2007, Procente, 5.1
Total, Regiunea SUD-MUNTENIA, Anul 2008, Procente, 5.2
Total, Regiunea SUD-MUNTENIA, Anul 2009, Procente, 9.4
Total, Regiunea SUD-MUNTENIA, Anul 2010, Procente, 8.8
Total, Regiunea SUD-MUNTENIA, Anul 2011, Procente, 6.5
Total, Regiunea SUD-MUNTENIA, Anul 2012, Procente, 6.9
Total, Regiunea SUD-MUNTENIA, Anul 2013, Procente, 7.5
Total, Regiunea SUD-MUNTENIA, Anul 2014, Procente, 7.3
Total, Regiunea SUD-MUNTENIA, Anul 2015, Procente, 6.6
Total, Regiunea SUD-MUNTENIA, Anul 2016, Procente, 6.3
Total, Regiunea SUD-MUNTENIA, Anul 2017, Procente, 5
Total, Arges, Anul 1991, Procente, 1.8
Total, Arges, Anul 1992, Procente, 6.6
Total, Arges, Anul 1993, Procente, 9.1
Total, Arges, Anul 1994, Procente, 9.6
Total, Arges, Anul 1995, Procente, 7.3
Total, Arges, Anul 1996, Procente, 4.9
Total, Arges, Anul 1997, Procente, 5.4
Total, Arges, Anul 1998, Procente, 7.6
Total, Arges, Anul 1999, Procente, 10.3
Total, Arges, Anul 2000, Procente, 7
Total, Arges, Anul 2001, Procente, 6.4
Total, Arges, Anul 2002, Procente, 6.6
Total, Arges, Anul 2003, Procente, 6.2
Total, Arges, Anul 2004, Procente, 6.8
Total, Arges, Anul 2005, Procente, 5.2
Total, Arges, Anul 2006, Procente, 6.1
Total, Arges, Anul 2007, Procente, 4.8
Total, Arges, Anul 2008, Procente, 4.9
Total, Arges, Anul 2009, Procente, 9.5
Total, Arges, Anul 2010, Procente, 7.6
Total, Arges, Anul 2011, Procente, 5.7
Total, Arges, Anul 2012, Procente, 6.1
Total, Arges, Anul 2013, Procente, 7
Total, Arges, Anul 2014, Procente, 5.9
Total, Arges, Anul 2015, Procente, 5.1
Total, Arges, Anul 2016, Procente, 4.7
Total, Arges, Anul 2017, Procente, 4
Total, Calarasi, Anul 1991, Procente, 2.3
Total, Calarasi, Anul 1992, Procente, 7.1
Total, Calarasi, Anul 1993, Procente, 7.9
Total, Calarasi, Anul 1994, Procente, 7
Total, Calarasi, Anul 1995, Procente, 8.8
Total, Calarasi, Anul 1996, Procente, 4.8
Total, Calarasi, Anul 1997, Procente, 7.6
Total, Calarasi, Anul 1998, Procente, 10.6
Total, Calarasi, Anul 1999, Procente, 12.7
Total, Calarasi, Anul 2000, Procente, 11.9
Total, Calarasi, Anul 2001, Procente, 10.1
Total, Calarasi, Anul 2002, Procente, 10.6
Total, Calarasi, Anul 2003, Procente, 7.8
Total, Calarasi, Anul 2004, Procente, 8.8
Total, Calarasi, Anul 2005, Procente, 9
Total, Calarasi, Anul 2006, Procente, 6.9
Total, Calarasi, Anul 2007, Procente, 4.7
Total, Calarasi, Anul 2008, Procente, 5.1
Total, Calarasi, Anul 2009, Procente, 9.2
Total, Calarasi, Anul 2010, Procente, 8.8
Total, Calarasi, Anul 2011, Procente, 6.3
Total, Calarasi, Anul 2012, Procente, 7.2
Total, Calarasi, Anul 2013, Procente, 8.2
Total, Calarasi, Anul 2014, Procente, 8.2
Total, Calarasi, Anul 2015, Procente, 7.3
Total, Calarasi, Anul 2016, Procente, 7.9
Total, Calarasi, Anul 2017, Procente, 4.9
Total, Dambovita, Anul 1991, Procente, 3.9
Total, Dambovita, Anul 1992, Procente, 5.8
Total, Dambovita, Anul 1993, Procente, 9.1
Total, Dambovita, Anul 1994, Procente, 11
Total, Dambovita, Anul 1995, Procente, 10.1
Total, Dambovita, Anul 1996, Procente, 6.7
Total, Dambovita, Anul 1997, Procente, 8.6
Total, Dambovita, Anul 1998, Procente, 10
Total, Dambovita, Anul 1999, Procente, 11.9
Total, Dambovita, Anul 2000, Procente, 10.8
Total, Dambovita, Anul 2001, Procente, 9
Total, Dambovita, Anul 2002, Procente, 8.8
Total, Dambovita, Anul 2003, Procente, 6.1
Total, Dambovita, Anul 2004, Procente, 6.7
Total, Dambovita, Anul 2005, Procente, 7.4
Total, Dambovita, Anul 2006, Procente, 6.1
Total, Dambovita, Anul 2007, Procente, 5.3
Total, Dambovita, Anul 2008, Procente, 5.6
Total, Dambovita, Anul 2009, Procente, 8.5
Total, Dambovita, Anul 2010, Procente, 8.5
Total, Dambovita, Anul 2011, Procente, 6.5
Total, Dambovita, Anul 2012, Procente, 7.5
Total, Dambovita, Anul 2013, Procente, 8.1
Total, Dambovita, Anul 2014, Procente, 7.9
Total, Dambovita, Anul 2015, Procente, 7.2
Total, Dambovita, Anul 2016, Procente, 7
Total, Dambovita, Anul 2017, Procente, 5.3
Total, Giurgiu, Anul 1991, Procente, 3.9
Total, Giurgiu, Anul 1992, Procente, 8.4
Total, Giurgiu, Anul 1993, Procente, 14.4
Total, Giurgiu, Anul 1994, Procente, 10.2
Total, Giurgiu, Anul 1995, Procente, 9.8
Total, Giurgiu, Anul 1996, Procente, 4.4
Total, Giurgiu, Anul 1997, Procente, 6.3
Total, Giurgiu, Anul 1998, Procente, 7.4
Total, Giurgiu, Anul 1999, Procente, 8.7
Total, Giurgiu, Anul 2000, Procente, 8
Total, Giurgiu, Anul 2001, Procente, 6.7
Total, Giurgiu, Anul 2002, Procente, 7.3
Total, Giurgiu, Anul 2003, Procente, 7.5
Total, Giurgiu, Anul 2004, Procente, 7.3
Total, Giurgiu, Anul 2005, Procente, 5.6
Total, Giurgiu, Anul 2006, Procente, 5.5
Total, Giurgiu, Anul 2007, Procente, 4.5
Total, Giurgiu, Anul 2008, Procente, 4.5
Total, Giurgiu, Anul 2009, Procente, 7.2
Total, Giurgiu, Anul 2010, Procente, 8.4
Total, Giurgiu, Anul 2011, Procente, 5.7
Total, Giurgiu, Anul 2012, Procente, 5.9
Total, Giurgiu, Anul 2013, Procente, 6.2
Total, Giurgiu, Anul 2014, Procente, 7
Total, Giurgiu, Anul 2015, Procente, 6.5
Total, Giurgiu, Anul 2016, Procente, 5.8
Total, Giurgiu, Anul 2017, Procente, 3.3
Total, Ialomita, Anul 1991, Procente, 3.7
Total, Ialomita, Anul 1992, Procente, 8.4
Total, Ialomita, Anul 1993, Procente, 10.4
Total, Ialomita, Anul 1994, Procente, 10.5
Total, Ialomita, Anul 1995, Procente, 8.6
Total, Ialomita, Anul 1996, Procente, 6.1
Total, Ialomita, Anul 1997, Procente, 10.1
Total, Ialomita, Anul 1998, Procente, 12.6
Total, Ialomita, Anul 1999, Procente, 13
Total, Ialomita, Anul 2000, Procente, 13.1
Total, Ialomita, Anul 2001, Procente, 13.6
Total, Ialomita, Anul 2002, Procente, 12
Total, Ialomita, Anul 2003, Procente, 11.1
Total, Ialomita, Anul 2004, Procente, 10.4
Total, Ialomita, Anul 2005, Procente, 12.1
Total, Ialomita, Anul 2006, Procente, 8.9
Total, Ialomita, Anul 2007, Procente, 6.9
Total, Ialomita, Anul 2008, Procente, 4.9
Total, Ialomita, Anul 2009, Procente, 11.2
Total, Ialomita, Anul 2010, Procente, 9.9
Total, Ialomita, Anul 2011, Procente, 7.6
Total, Ialomita, Anul 2012, Procente, 7.7
Total, Ialomita, Anul 2013, Procente, 7.5
Total, Ialomita, Anul 2014, Procente, 8.1
Total, Ialomita, Anul 2015, Procente, 7.9
Total, Ialomita, Anul 2016, Procente, 7.8
Total, Ialomita, Anul 2017, Procente, 6.9
Total, Prahova, Anul 1991, Procente, 1.7
Total, Prahova, Anul 1992, Procente, 5.5
Total, Prahova, Anul 1993, Procente, 7.9
Total, Prahova, Anul 1994, Procente, 10
Total, Prahova, Anul 1995, Procente, 9
Total, Prahova, Anul 1996, Procente, 5.5
Total, Prahova, Anul 1997, Procente, 9.7
Total, Prahova, Anul 1998, Procente, 12.9
Total, Prahova, Anul 1999, Procente, 14.8
Total, Prahova, Anul 2000, Procente, 13.5
Total, Prahova, Anul 2001, Procente, 10.2
Total, Prahova, Anul 2002, Procente, 10.2
Total, Prahova, Anul 2003, Procente, 10
Total, Prahova, Anul 2004, Procente, 6.6
Total, Prahova, Anul 2005, Procente, 6.3
Total, Prahova, Anul 2006, Procente, 5.1
Total, Prahova, Anul 2007, Procente, 3.8
Total, Prahova, Anul 2008, Procente, 3.9
Total, Prahova, Anul 2009, Procente, 8.9
Total, Prahova, Anul 2010, Procente, 8.6
Total, Prahova, Anul 2011, Procente, 5.7
Total, Prahova, Anul 2012, Procente, 5.6
Total, Prahova, Anul 2013, Procente, 5.8
Total, Prahova, Anul 2014, Procente, 5.2
Total, Prahova, Anul 2015, Procente, 4.3
Total, Prahova, Anul 2016, Procente, 4.3
Total, Prahova, Anul 2017, Procente, 3.1
Total, Teleorman, Anul 1991, Procente, 3.4
Total, Teleorman, Anul 1992, Procente, 6.9
Total, Teleorman, Anul 1993, Procente, 9.3
Total, Teleorman, Anul 1994, Procente, 10
Total, Teleorman, Anul 1995, Procente, 10
Total, Teleorman, Anul 1996, Procente, 6.4
Total, Teleorman, Anul 1997, Procente, 8.2
Total, Teleorman, Anul 1998, Procente, 8.4
Total, Teleorman, Anul 1999, Procente, 9.1
Total, Teleorman, Anul 2000, Procente, 9
Total, Teleorman, Anul 2001, Procente, 7.7
Total, Teleorman, Anul 2002, Procente, 10.2
Total, Teleorman, Anul 2003, Procente, 10.3
Total, Teleorman, Anul 2004, Procente, 8
Total, Teleorman, Anul 2005, Procente, 8.9
Total, Teleorman, Anul 2006, Procente, 8.3
Total, Teleorman, Anul 2007, Procente, 7.3
Total, Teleorman, Anul 2008, Procente, 8.1
Total, Teleorman, Anul 2009, Procente, 11.5
Total, Teleorman, Anul 2010, Procente, 10.9
Total, Teleorman, Anul 2011, Procente, 9.1
Total, Teleorman, Anul 2012, Procente, 9.6
Total, Teleorman, Anul 2013, Procente, 10.8
Total, Teleorman, Anul 2014, Procente, 11.2
Total, Teleorman, Anul 2015, Procente, 11.6
