Country;Election type;Year;Voter Turnout;Total vote;Registration;VAP Turnout;Voting age population;Population;Invalid votes;Compulsory voting
Germany;Parliamentary;2013.0;71.53 %;44,309,925 ;61,946,900 ;66.07 %;67,068,214 ;81,147,265 ;1.55 %;No
Germany;Parliamentary;2009.0;70.78 %;44,005,575 ;62,168,489 ;64.61 %;68,114,735 ;81,837,700 ;1.44 %;No
Germany;Parliamentary;2005.0;77.65 %;48,044,134 ;61,870,711 ;71.99 %;66,738,702 ;82,431,390 ;1.60 %;No
Germany;Parliamentary;2002.0;79.08 %;48,582,761 ;61,432,868 ;73.46 %;66,136,352 ;83,029,536 ;1.20 %;No
Germany;Parliamentary;1998.0;82.20 %;49,947,087 ;60,762,751 ;75.32 %;66,313,874 ;82,172,259 ;1.60 %;No
Germany;Parliamentary;1994.0;78.97 %;47,737,999 ;60,452,009 ;72.39 %;65,942,100 ;81,410,000 ;1.30 %;No
Germany;Parliamentary;1990.0;77.76 %;46,995,915 ;60,436,560 ;73.10 %;64,285,650 ;79,365,000 ;1.10 %;No
Germany;Parliamentary;1987.0;84.33 %;38,225,294 ;45,327,982 ;75.02 %;50,954,310 ;64,499,127 ;0.90 %;No
Germany;Parliamentary;1983.0;89.09 %;39,279,529 ;44,088,935 ;80.95 %;48,522,590 ;61,421,000 ;0.90 %;No
Germany;Parliamentary;1980.0;88.57 %;38,292,176 ;43,231,741 ;81.84 %;46,786,360 ;61,561,000 ;0.90 %;No
Germany;Parliamentary;1976.0;90.75 %;38,165,753 ;42,058,015 ;83.84 %;45,519,620 ;61,513,000 ;0.90 %;No
Germany;Parliamentary;1972.0;91.11 %;37,761,589 ;41,446,302 ;88.74 %;42,552,300 ;61,670,000 ;0.80 %;No
Germany;Parliamentary;1969.0;86.67 %;33,523,064 ;38,677,235 ;79.86 %;41,979,600 ;60,840,000 ;1.70 %;No
Germany;Parliamentary;1965.0;86.77 %;33,416,207 ;38,510,395 ;80.86 %;41,328,000 ;59,040,000 ;2.40 %;No
Germany;Parliamentary;1961.0;87.74 %;32,849,624 ;37,440,715 ;86.86 %;37,820,300 ;54,029,000 ;4.00 %;No
Germany;Parliamentary;1957.0;87.77 %;31,072,894 ;35,400,923 ;87.57 %;35,484,630 ;51,427,000 ;3.80 %;No
Germany;Parliamentary;1953.0;85.99 %;28,479,550 ;33,120,940 ;80.57 %;35,346,630 ;51,227,000 ;3.30 %;No
Germany;Parliamentary;1949.0;78.49 %;24,495,614 ;31,207,620 ;76.46 %;32,035,480 ;47,111,000 ;3.10 %;No
Gibraltar;Parliamentary;2019.0;70.84 %;17,135 ;24,189 ;76.38 %;22,435 ;29,523 ;2.15 %;No
Gibraltar;Parliamentary;2015.0;70.77 %;16,475 ;23,278 ;74.23 %;22,194 ;29,258 ;;No
Gibraltar;Parliamentary;2011.0;82.51 %;17,915 ;21,712 ;82.72 %;21,658 ;28,956 ;;No
Greece;Parliamentary;2019.0;57.78 %;5,769,644 ;9,984,934 ;63.52 %;9,082,362 ;10,752,626 ;2.08 %;Yes
Greece;Parliamentary;2015.0;63.94 %;6,330,318 ;9,900,403 ;70.65 %;8,960,611 ;10,775,557 ;2.36 %;Yes
Greece;Parliamentary;2012.0;62.47 %;6,216,996 ;9,951,970 ;69.36 %;8,963,093 ;10,767,827 ;0.99 %;Yes
Greece;Parliamentary;2009.0;70.92 %;6,477,060 ;9,933,385 ;79.24 %;8,889,858 ;10,737,428 ;2.64 %;Yes
Greece;Parliamentary;2007.0;74.14 %;7,355,684 ;9,921,343 ;79.59 %;9,242,235 ;10,706,290 ;2.70 %;Yes
Greece;Parliamentary;2004.0;76.62 %;7,575,190 ;9,886,807 ;87.66 %;8,641,126 ;10,665,989 ;2.20 %;Yes
Greece;Parliamentary;2000.0;74.97 %;7,027,007 ;9,373,439 ;89.02 %;7,893,346 ;10,349,420 ;1.60 %;Yes
Greece;Parliamentary;1996.0;76.34 %;6,952,938 ;9,107,766 ;83.88 %;8,289,470 ;10,493,000 ;2.00 %;Yes
Greece;Parliamentary;1993.0;82.95 %;7,019,925 ;8,462,636 ;85.61 %;8,200,200 ;10,380,000 ;1.70 %;Yes
Greece;Parliamentary;1989.0;84.50 %;6,799,485 ;8,061,803 ;87.52 %;7,769,300 ;10,090,000 ;1.50 %;Yes
Greece;Parliamentary;1985.0;83.81 %;6,421,466 ;7,661,588 ;87.35 %;7,351,160 ;9,934,000 ;0.90 %;Yes
Greece;Parliamentary;1981.0;81.50 %;5,753,478 ;7,059,778 ;84.48 %;6,810,300 ;9,729,000 ;1.40 %;Yes
Greece;Parliamentary;1977.0;81.11 %;5,193,891 ;6,403,738 ;82.41 %;6,302,240 ;9,268,000 ;1.20 %;Yes
Greece;Parliamentary;1974.0;79.58 %;4,966,558 ;6,241,066 ;82.73 %;6,003,200 ;8,960,000 ;1.10 %;Yes
Greece;Parliamentary;1964.0;81.69 %;4,626,290 ;5,662,965 ;83.64 %;5,531,500 ;8,510,000 ;0.60 %;Yes
Greece;Parliamentary;1963.0;83.04 %;4,702,791 ;5,662,965 ;85.32 %;5,512,000 ;8,480,000 ;0.80 %;Yes
Greece;Parliamentary;1961.0;81.87 %;4,640,512 ;5,668,298 ;86.34 %;5,374,720 ;8,398,000 ;0.40 %;Yes
Greece;Parliamentary;1958.0;75.48 %;3,863,982 ;5,119,148 ;73.87 %;5,230,720 ;8,173,000 ;0.40 %;Yes
Greece;Parliamentary;1956.0;74.97 %;3,379,445 ;4,507,907 ;67.87 %;4,979,220 ;8,031,000 ;0.40 %;Yes
Greece;Parliamentary;1952.0;75.37 %;1,600,172 ;2,123,150 ;73.87 %;2,166,080 ;7,736,000 ;0.50 %;Yes
Greece;Parliamentary;1951.0;77.20 %;1,717,012 ;2,224,246 ;80.16 %;2,142,000 ;7,650,000 ;0.50 %;Yes
Greece;Parliamentary;1950.0;;1,696,146 ;;80.10 %;2,117,640 ;7,563,000 ;0.40 %;Yes
Greece;Parliamentary;1946.0;;1,121,696 ;;53.54 %;2,095,240 ;7,483,000 ;1.20 %;Yes
Hungary;Parliamentary;2018.0;69.67 %;5,791,432 ;8,312,264 ;71.64 %;8,083,846 ;9,825,704 ;1.03 %;No
Hungary;Parliamentary;2014.0;61.84 %;5,096,524 ;8,241,488 ;63.36 %;8,043,818 ;9,919,128 ;0.91 %;No
Hungary;Parliamentary;2010.0;64.38 %;5,172,222 ;8,034,394 ;63.67 %;8,123,081 ;9,992,339 ;;No
Hungary;Parliamentary;2006.0;67.57 %;5,457,553 ;8,076,781 ;68.84 %;7,928,311 ;10,076,581 ;0.60 %;No
Hungary;Parliamentary;2002.0;70.52 %;5,667,551 ;8,037,265 ;71.55 %;7,920,946 ;10,174,853 ;0.60 %;No
Hungary;Parliamentary;1998.0;57.01 %;4,570,386 ;8,016,397 ;59.03 %;7,742,951 ;10,056,000 ;1.30 %;No
Hungary;Parliamentary;1994.0;68.92 %;5,485,618 ;7,959,206 ;69.43 %;7,900,970 ;10,261,000 ;1.20 %;No
Hungary;Parliamentary;1990.0;65.10 %;5,093,119 ;7,824,110 ;65.52 %;7,773,750 ;10,365,000 ;1.36 %;No
Iceland;Parliamentary;2021.0;80.09 %;203,978 ;254,681 ;75.79 %;269,141 ;354,234 ;2.08 %;No
Iceland;Parliamentary;2017.0;81.20 %;201,777 ;248,502 ;78.39 %;257,391 ;339,755 ;2.74 %;No
Iceland;Parliamentary;2016.0;79.18 %;195,200 ;246,511 ;75.68 %;254,202 ;335,878 ;2.90 %;No
Iceland;Parliamentary;2013.0;81.44 %;193,792 ;237,957 ;80.01 %;242,209 ;321,857 ;0.30 %;No
Iceland;Parliamentary;2009.0;85.12 %;193,975 ;227,896 ;84.74 %;228,910 ;306,694 ;3.50 %;No
Iceland;Parliamentary;2007.0;83.60 %;185,071 ;221,368 ;84.65 %;218,641 ;301,931 ;1.60 %;No
Iceland;Parliamentary;2003.0;87.70 %;185,311 ;211,289 ;89.12 %;207,932 ;279,384 ;1.20 %;No
Iceland;Parliamentary;1999.0;84.07 %;169,431 ;201,525 ;86.18 %;196,604 ;276,418 ;2.20 %;No
Iceland;Parliamentary;1995.0;87.38 %;167,751 ;191,973 ;87.83 %;190,990 ;269,000 ;1.60 %;No
Iceland;Parliamentary;1991.0;87.62 %;160,142 ;182,768 ;88.67 %;180,600 ;258,000 ;1.50 %;No
Iceland;Parliamentary;1987.0;90.10 %;154,438 ;171,402 ;92.32 %;167,280 ;246,000 ;1.10 %;No
Iceland;Parliamentary;1983.0;88.60 %;133,764 ;150,977 ;88.19 %;151,680 ;237,000 ;2.50 %;No
Iceland;Parliamentary;1979.0;89.34 %;126,929 ;142,073 ;90.59 %;140,120 ;226,000 ;2.50 %;No
Iceland;Parliamentary;1978.0;90.27 %;124,377 ;137,782 ;89.56 %;138,880 ;224,000 ;1.70 %;No
Iceland;Parliamentary;1974.0;91.44 %;115,575 ;126,388 ;87.56 %;132,000 ;220,000 ;1.30 %;No
Iceland;Parliamentary;1971.0;90.44 %;106,975 ;118,289 ;89.37 %;119,700 ;210,000 ;1.50 %;No
Iceland;Parliamentary;1967.0;91.37 %;97,855 ;107,101 ;88.96 %;110,000 ;200,000 ;1.80 %;No
Iceland;Parliamentary;1963.0;91.14 %;90,958 ;99,798 ;89.39 %;101,750 ;185,000 ;1.80 %;No
Iceland;Parliamentary;1959.0;90.63 %;86,426 ;95,637 ;89.73 %;96,320 ;172,000 ;1.50 %;No
Iceland;Parliamentary;1956.0;92.07 %;84,355 ;91,618 ;91.92 %;91,770 ;161,000 ;2.00 %;No
Iceland;Parliamentary;1953.0;89.90 %;78,754 ;87,601 ;92.11 %;85,500 ;150,000 ;1.70 %;No
Iceland;Parliamentary;1949.0;89.03 %;73,432 ;82,481 ;88.90 %;82,600 ;140,000 ;1.70 %;No
Iceland;Parliamentary;1946.0;87.41 %;67,895 ;77,670 ;87.18 %;77,880 ;132,000 ;1.40 %;No
Ireland;Parliamentary;2020.0;62.77 %;2,201,192 ;3,506,906 ;56.65 %;3,885,875 ;5,176,569 ;0.80 %;No
Ireland;Parliamentary;2016.0;65.09 %;2,151,293 ;3,305,110 ;58.04 %;3,706,414 ;4,952,473 ;0.86 %;No
Ireland;Parliamentary;2011.0;69.90 %;2,243,176 ;3,209,244 ;63.78 %;3,516,795 ;4,670,976 ;1.00 %;No
Ireland;Parliamentary;2007.0;67.03 %;2,085,245 ;3,110,914 ;68.89 %;3,026,706 ;4,234,925 ;0.90 %;No
Ireland;Parliamentary;2002.0;62.57 %;1,878,609 ;3,002,173 ;66.98 %;2,804,939 ;3,840,838 ;1.10 %;No
Ireland;Parliamentary;1997.0;65.92 %;1,806,932 ;2,741,262 ;67.38 %;2,681,821 ;3,807,391 ;0.99 %;No
Ireland;Parliamentary;1992.0;68.49 %;1,751,351 ;2,557,036 ;73.65 %;2,377,830 ;3,549,000 ;1.50 %;No
Ireland;Parliamentary;1989.0;68.51 %;1,677,592 ;2,448,810 ;71.23 %;2,355,050 ;3,515,000 ;1.20 %;No
Ireland;Parliamentary;1987.0;73.33 %;1,793,406 ;2,445,515 ;77.87 %;2,302,950 ;3,543,000 ;0.90 %;No
Ireland;Parliamentary;1982.0;72.86 %;1,701,385 ;2,335,153 ;76.33 %;2,229,120 ;3,483,000 ;0.70 %;No
Ireland;Parliamentary;1981.0;76.22 %;1,734,379 ;2,275,450 ;78.78 %;2,201,600 ;3,440,000 ;0.90 %;No
Ireland;Parliamentary;1977.0;76.31 %;1,616,770 ;2,118,606 ;85.17 %;1,898,340 ;3,273,000 ;0.90 %;No
Ireland;Parliamentary;1973.0;76.61 %;1,366,474 ;1,783,604 ;77.76 %;1,757,400 ;3,030,000 ;1.20 %;No
Ireland;Parliamentary;1969.0;76.93 %;1,334,963 ;1,735,388 ;77.22 %;1,728,700 ;2,930,000 ;1.20 %;No
Ireland;Parliamentary;1965.0;75.14 %;1,264,666 ;1,683,019 ;74.43 %;1,699,200 ;2,880,000 ;0.90 %;No
Ireland;Parliamentary;1961.0;70.61 %;1,179,738 ;1,670,860 ;70.96 %;1,662,620 ;2,818,000 ;1.00 %;No
Ireland;Parliamentary;1957.0;71.25 %;1,238,559 ;1,738,278 ;70.38 %;1,759,850 ;2,885,000 ;0.90 %;No
Ireland;Parliamentary;1954.0;76.45 %;1,347,932 ;1,763,209 ;75.34 %;1,789,130 ;2,933,000 ;0.90 %;No
Ireland;Parliamentary;1951.0;75.27 %;1,343,616 ;1,785,144 ;74.39 %;1,806,210 ;2,961,000 ;0.90 %;No
Ireland;Parliamentary;1948.0;74.25 %;1,336,628 ;1,800,210 ;73.41 %;1,820,850 ;2,985,000 ;1.00 %;No
Italy;Parliamentary;2018.0;72.93 %;33,916,460 ;46,505,499 ;65.18 %;52,037,314 ;62,246,674 ;3.22 %;No
Italy;Parliamentary;2013.0;75.19 %;35,271,541 ;46,905,154 ;68.33 %;51,620,536 ;61,482,297 ;3.59 %;No
Italy;Parliamentary;2008.0;80.54 %;37,954,253 ;47,126,326 ;79.13 %;47,961,929 ;58,147,733 ;5.10 %;No
Italy;Parliamentary;2006.0;83.62 %;39,298,497 ;46,997,601 ;82.13 %;47,848,339 ;58,103,033 ;2.90 %;No
Italy;Parliamentary;2001.0;81.44 %;40,195,500 ;49,358,947 ;84.92 %;47,332,575 ;57,684,294 ;7.20 %;No
Italy;Parliamentary;1996.0;82.91 %;40,496,438 ;48,846,238 ;87.35 %;46,363,590 ;57,239,000 ;7.80 %;No
Italy;Parliamentary;1994.0;86.14 %;41,461,260 ;48,135,041 ;90.84 %;45,641,100 ;57,049,000 ;5.90 %;No
Italy;Parliamentary;1992.0;87.44 %;41,479,764 ;47,435,964 ;92.34 %;44,918,610 ;56,859,000 ;5.40 %;Yes
Italy;Parliamentary;1987.0;88.86 %;40,599,490 ;45,689,829 ;94.40 %;43,008,750 ;57,345,000 ;4.90 %;Yes
Italy;Parliamentary;1983.0;89.02 %;39,114,321 ;43,936,534 ;91.76 %;42,627,000 ;56,836,000 ;5.70 %;Yes
Italy;Parliamentary;1979.0;90.35 %;38,112,228 ;42,181,664 ;92.75 %;41,093,160 ;56,292,000 ;3.90 %;Yes
Italy;Parliamentary;1976.0;93.37 %;37,741,404 ;40,423,131 ;95.43 %;39,547,710 ;55,701,000 ;2.70 %;Yes
Italy;Parliamentary;1972.0;93.18 %;34,524,106 ;37,049,654 ;94.70 %;36,454,700 ;54,410,000 ;3.20 %;Yes
Italy;Parliamentary;1968.0;92.79 %;33,003,249 ;35,566,681 ;93.10 %;35,449,700 ;52,910,000 ;3.60 %;Yes
Italy;Parliamentary;1963.0;92.88 %;31,766,058 ;34,201,660 ;95.31 %;33,328,680 ;50,498,000 ;3.20 %;Yes
Italy;Parliamentary;1958.0;93.72 %;30,399,708 ;32,436,022 ;93.92 %;32,367,060 ;49,041,000 ;2.80 %;Yes
Italy;Parliamentary;1953.0;93.87 %;28,410,851 ;30,267,080 ;91.53 %;31,041,400 ;47,756,000 ;4.30 %;Yes
Italy;Parliamentary;1948.0;92.23 %;26,854,203 ;29,117,554 ;93.26 %;28,794,780 ;45,706,000 ;2.20 %;Yes
Italy;Parliamentary;1946.0;89.08 %;24,947,187 ;28,005,449 ;88.01 %;28,346,220 ;44,994,000 ;7.70 %;Yes
Kosovo;Parliamentary;2021.0;48.84 %;904,546 ;1,851,927 ;65.30 %;1,385,258 ;1,935,259 ;2.99 %;No
Kosovo;Parliamentary;2019.0;43.20 %;837,112 ;1,937,868 ;61.82 %;1,354,185 ;1,920,079 ;4.87 %;No
Kosovo;Parliamentary;2017.0;41.30 %;779,729 ;1,888,059 ;59.22 %;1,316,710 ;1,895,250 ;6.30 %;No
Kosovo;Parliamentary;2014.0;42.63 %;766,834 ;1,799,023 ;61.70 %;1,242,917 ;1,859,203 ;4.64 %;No
Kosovo;Parliamentary;2010.0;45.62 %;743,892 ;1,630,636 ;61.31 %;1,213,399 ;1,815,048 ;4.22 %;No
Kosovo;Parliamentary;2007.0;43.23 %;628,630 ;1,454,174 ;55.89 %;1,124,763 ;2,126,000 ;9.00 %;No
Kosovo;Parliamentary;2004.0;49.52 %;699,519 ;1,412,680 ;65.28 %;1,071,500 ;2,041,000 ;1.35 %;No
Latvia;Parliamentary;2018.0;54.58 %;844,925 ;1,548,100 ;53.55 %;1,577,849 ;1,923,559 ;0.70 %;No
Latvia;Parliamentary;2014.0;58.80 %;913,491 ;1,553,556 ;51.69 %;1,767,172 ;2,165,165 ;0.76 %;No
Latvia;Parliamentary;2011.0;59.49 %;917,713 ;1,542,700 ;53.02 %;1,730,922 ;2,074,605 ;0.14 %;No
Latvia;Parliamentary;2010.0;64.72 %;965,509 ;1,491,735 ;52.46 %;1,840,459 ;2,217,969 ;2.14 %;No
Latvia;Parliamentary;2006.0;60.98 %;908,979 ;1,490,636 ;50.18 %;1,811,612 ;2,274,735 ;0.80 %;No
Latvia;Parliamentary;2002.0;71.17 %;995,085 ;1,398,156 ;55.08 %;1,806,643 ;2,385,231 ;0.50 %;No
Latvia;Parliamentary;1998.0;71.90 %;964,667 ;1,341,602 ;51.91 %;1,858,210 ;2,432,841 ;0.50 %;No
Latvia;Parliamentary;1995.0;71.90 %;959,459 ;1,334,436 ;50.64 %;1,894,500 ;2,526,000 ;1.50 %;No
Latvia;Parliamentary;1993.0;89.88 %;1,119,432 ;1,245,530 ;57.72 %;1,939,500 ;2,586,000 ;1.50 %;No
Latvia;Parliamentary;1990.0;81.20 %;1,600,000 ;1,970,443 ;80.95 %;1,976,540 ;2,671,000 ;;No
Liechtenstein;Parliamentary;2021.0;78.01 %;15,901 ;20,384 ;49.31 %;32,244 ;39,425 ;3.53 %;Yes
Liechtenstein;Parliamentary;2017.0;77.82 %;15,413 ;19,806 ;49.58 %;31,087 ;38,244 ;4.08 %;Yes
Liechtenstein;Parliamentary;2013.0;79.80 %;15,363 ;19,251 ;52.70 %;29,150 ;36,713 ;3.98 %;Yes
Liechtenstein;Parliamentary;2009.0;84.63 %;15,650 ;18,493 ;56.46 %;27,718 ;34,761 ;3.40 %;Yes
Liechtenstein;Parliamentary;2005.0;86.47 %;15,070 ;17,428 ;57.62 %;26,154 ;34,294 ;2.10 %;Yes
Liechtenstein;Parliamentary;2001.0;86.72 %;14,178 ;16,350 ;56.76 %;24,981 ;32,207 ;1.10 %;Yes
Liechtenstein;Parliamentary;1997.0;86.94 %;12,836 ;14,765 ;53.84 %;23,840 ;32,000 ;0.50 %;Yes
Liechtenstein;Parliamentary;1993.0;87.54 %;12,255 ;13,999 ;55.58 %;22,050 ;30,000 ;0.90 %;Yes
Liechtenstein;Parliamentary;1989.0;90.88 %;12,094 ;13,307 ;59.58 %;20,300 ;28,000 ;0.70 %;Yes
Liechtenstein;Parliamentary;1986.0;93.33 %;11,677 ;12,512 ;60.27 %;19,373 ;27,000 ;0.20 %;Yes
Liechtenstein;Parliamentary;1982.0;95.39 %;5,004 ;5,246 ;56.61 %;8,840 ;26,000 ;1.10 %;Yes
Liechtenstein;Parliamentary;1978.0;95.72 %;4,670 ;4,879 ;56.61 %;8,250 ;25,000 ;0.60 %;Yes
Liechtenstein;Parliamentary;1974.0;95.56 %;4,369 ;4,572 ;56.89 %;7,680 ;24,000 ;0.80 %;Yes
Liechtenstein;Parliamentary;1970.0;94.94 %;4,091 ;4,309 ;62.84 %;6,510 ;21,000 ;0.80 %;Yes
Liechtenstein;Parliamentary;1966.0;95.68 %;3,724 ;3,892 ;62.07 %;6,000 ;20,000 ;0.30 %;Yes
Liechtenstein;Parliamentary;1962.0;94.68 %;3,452 ;3,646 ;66.13 %;5,220 ;18,000 ;0.50 %;Yes
Liechtenstein;Parliamentary;1958.0;96.47 %;3,419 ;3,544 ;76.32 %;4,480 ;16,000 ;0.20 %;Yes
Liechtenstein;Parliamentary;1957.0;93.45 %;3,294 ;3,525 ;74.19 %;4,440 ;16,000 ;0.30 %;Yes
Liechtenstein;Parliamentary;1953.0;90.76 %;3,173 ;3,398 ;79.07 %;4,013 ;15,000 ;0.90 %;Yes
Liechtenstein;Parliamentary;1949.0;91.99 %;3,022 ;3,285 ;83.83 %;3,605 ;14,000 ;1.50 %;Yes
Liechtenstein;Parliamentary;1945.0;93.36 %;2,883 ;3,088 ;97.07 %;2,970 ;12,000 ;1.90 %;Yes
Lithuania;Parliamentary;2020.0;47.80 %;1,174,725 ;2,457,722 ;52.51 %;2,237,168 ;2,731,464 ;5.26 %;No
Lithuania;Parliamentary;2016.0;50.64 %;1,273,427 ;2,514,657 ;54.51 %;2,336,011 ;2,854,235 ;4.12 %;No
Lithuania;Parliamentary;2012.0;52.93 %;1,370,014 ;2,588,418 ;55.86 %;2,452,753 ;2,986,065 ;4.23 %;No
Lithuania;Parliamentary;2008.0;48.59 %;1,309,965 ;2,696,090 ;46.15 %;2,838,539 ;3,565,205 ;6.22 %;No
Lithuania;Parliamentary;2004.0;46.04 %;1,227,648 ;2,666,199 ;43.33 %;2,833,208 ;3,607,899 ;5.47 %;No
Lithuania;Parliamentary;2000.0;58.18 %;1,539,743 ;2,646,663 ;50.43 %;3,053,037 ;3,672,338 ;4.40 %;No
Lithuania;Parliamentary;1996.0;52.92 %;1,374,612 ;2,597,530 ;49.96 %;2,751,320 ;3,718,000 ;4.90 %;No
Lithuania;Parliamentary;1992.0;75.22 %;1,918,027 ;2,549,952 ;70.21 %;2,731,660 ;3,742,000 ;5.50 %;No
Lithuania;Parliamentary;1990.0;71.72 %;1,851,343 ;2,581,359 ;;;3,693,700 ;;
Luxembourg;Parliamentary;2018.0;89.66 %;233,014 ;259,887 ;48.16 %;483,824 ;605,764 ;7.23 %;Yes
Luxembourg;Parliamentary;2013.0;91.15 %;218,453 ;239,668 ;55.12 %;396,354 ;514,862 ;6.81 %;Yes
Luxembourg;Parliamentary;2009.0;90.93 %;203,535 ;223,842 ;53.20 %;382,589 ;491,775 ;6.45 %;Yes
Luxembourg;Parliamentary;2004.0;91.68 %;199,846 ;217,979 ;56.50 %;353,691 ;455,000 ;5.60 %;Yes
Luxembourg;Parliamentary;1999.0;86.51 %;191,267 ;221,103 ;56.92 %;336,027 ;429,797 ;6.50 %;Yes
Luxembourg;Parliamentary;1994.0;88.30 %;191,724 ;217,131 ;60.52 %;316,790 ;401,000 ;6.50 %;Yes
Luxembourg;Parliamentary;1989.0;87.39 %;191,332 ;218,940 ;64.07 %;298,620 ;378,000 ;5.50 %;Yes
Luxembourg;Parliamentary;1984.0;88.81 %;191,651 ;215,792 ;66.83 %;286,770 ;363,000 ;6.50 %;Yes
Luxembourg;Parliamentary;1979.0;88.85 %;188,909 ;212,614 ;68.48 %;275,880 ;363,000 ;7.30 %;Yes
Luxembourg;Parliamentary;1974.0;90.14 %;185,527 ;205,817 ;73.74 %;251,600 ;340,000 ;5.80 %;Yes
Luxembourg;Parliamentary;1968.0;88.56 %;170,566 ;192,601 ;67.79 %;251,600 ;340,000 ;6.40 %;Yes
Luxembourg;Parliamentary;1964.0;90.57 %;173,702 ;191,788 ;72.55 %;239,440 ;328,000 ;6.40 %;Yes
Luxembourg;Parliamentary;1959.0;92.33 %;173,836 ;188,286 ;74.29 %;234,000 ;312,000 ;4.90 %;Yes
Luxembourg;Parliamentary;1954.0;92.65 %;170,092 ;183,590 ;73.14 %;232,560 ;306,000 ;4.90 %;Yes
Luxembourg;Parliamentary;1951.0;90.78 %;83,613 ;92,110 ;37.29 %;224,250 ;299,000 ;4.90 %;Yes
Luxembourg;Parliamentary;1948.0;91.90 %;77,865 ;84,724 ;;219,000 ;292,000 ;5.60 %;Yes
Luxembourg;Parliamentary;1945.0;;159,083 ;;74.95 %;212,250 ;283,000 ;;Yes
Malta;Parliamentary;2017.0;92.06 %;314,696 ;341,856 ;92.29 %;341,004 ;416,338 ;1.28 %;No
Malta;Parliamentary;2013.0;92.95 %;309,600 ;333,072 ;91.72 %;337,540 ;409,836 ;1.30 %;No
Malta;Parliamentary;2008.0;93.30 %;294,214 ;315,357 ;88.88 %;331,028 ;401,880 ;1.20 %;No
Malta;Parliamentary;2003.0;95.70 %;285,122 ;297,930 ;95.35 %;299,040 ;397,499 ;1.00 %;No
Malta;Parliamentary;1998.0;95.40 %;268,150 ;281,078 ;95.93 %;279,515 ;379,287 ;1.40 %;No
Malta;Parliamentary;1996.0;97.16 %;264,037 ;271,746 ;98.02 %;269,370 ;369,000 ;1.10 %;No
Malta;Parliamentary;1992.0;96.04 %;249,145 ;259,423 ;95.33 %;261,360 ;363,000 ;0.80 %;No
Malta;Parliamentary;1987.0;96.11 %;236,719 ;246,292 ;95.57 %;247,680 ;344,000 ;0.70 %;No
Malta;Parliamentary;1981.0;94.64 %;225,466 ;238,237 ;86.03 %;262,080 ;364,000 ;0.60 %;No
Malta;Parliamentary;1976.0;95.00 %;206,843 ;217,724 ;89.81 %;230,300 ;329,000 ;0.70 %;No
Malta;Parliamentary;1971.0;92.93 %;168,913 ;181,768 ;77.55 %;217,800 ;330,000 ;0.50 %;No
Malta;Parliamentary;1966.0;89.71 %;144,873 ;161,490 ;76.73 %;188,800 ;320,000 ;1.10 %;No
Malta;Parliamentary;1962.0;90.77 %;151,533 ;166,936 ;79.41 %;190,820 ;329,000 ;0.60 %;No
Malta;Parliamentary;1955.0;81.16 %;121,243 ;149,380 ;67.74 %;178,980 ;314,000 ;0.50 %;No
Malta;Parliamentary;1953.0;80.37 %;119,333 ;148,478 ;66.04 %;180,690 ;317,000 ;0.70 %;No
Malta;Parliamentary;1951.0;74.59 %;113,366 ;151,977 ;60.37 %;187,800 ;313,000 ;0.70 %;No
Malta;Parliamentary;1950.0;76.02 %;106,820 ;140,516 ;57.06 %;187,200 ;312,000 ;0.60 %;No
Malta;Parliamentary;1947.0;75.44 %;106,141 ;140,703 ;58.97 %;180,000 ;300,000 ;0.60 %;No
Moldova, Republic of;Parliamentary;2021.0;48.51 %;1,480,965 ;3,052,603 ;56.92 %;2,601,736 ;3,323,875 ;0.45 %;No
Moldova, Republic of;Parliamentary;2019.0;51.98 %;1,457,220 ;2,803,573 ;54.66 %;2,666,197 ;3,401,197 ;2.80 %;No
Moldova, Republic of;Parliamentary;2014.0;55.80 %;1,649,489 ;2,956,270 ;58.82 %;2,804,089 ;3,583,288 ;3.08 %;No
Moldova, Republic of;Parliamentary;2010.0;63.37 %;1,733,051 ;2,734,700 ;50.21 %;3,451,332 ;4,317,483 ;0.69 %;No
Moldova, Republic of;Parliamentary;2009.0;58.77 %;1,591,757 ;2,708,381 ;46.36 %;3,433,374 ;4,320,748 ;0.65 %;No
Moldova, Republic of;Parliamentary;2005.0;64.84 %;1,576,079 ;2,430,537 ;48.66 %;3,238,695 ;4,446,455 ;1.20 %;No
Moldova, Republic of;Parliamentary;2001.0;69.96 %;1,605,853 ;2,295,288 ;63.77 %;2,518,141 ;3,657,498 ;2.50 %;No
Moldova, Republic of;Parliamentary;1998.0;69.12 %;1,680,470 ;2,431,218 ;56.98 %;2,949,470 ;4,403,000 ;3.40 %;No
Moldova, Republic of;Parliamentary;1994.0;79.31 %;1,869,090 ;2,356,614 ;64.13 %;2,914,500 ;4,350,000 ;5.00 %;No
Monaco;Parliamentary;2018.0;70.35 %;5,097 ;7,245 ;19.09 %;26,694 ;30,727 ;5.40 %;No
Monaco;Parliamentary;2013.0;74.55 %;5,088 ;6,825 ;19.88 %;25,597 ;30,510 ;4.36 %;No
Monaco;Parliamentary;2008.0;76.85 %;4,854 ;6,316 ;18.29 %;26,546 ;35,352 ;4.20 %;No
Monaco;Parliamentary;2003.0;79.73 %;4,658 ;5,842 ;17.86 %;26,082 ;32,110 ;3.40 %;No
Monaco;Parliamentary;1998.0;65.41 %;3,226 ;4,932 ;11.70 %;27,564 ;32,580 ;2.80 %;No
